Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2023,NBA,1,24,Olivier-Maxence Prosper (↳DAL),Marquette,40,336,121,79,22,.385,.289,.683,8.4,3.0,2.0,0.6,0.5,.076,-2.9,-0.1
2023,NBA,2,38,Jordan Walsh (↳BOS),Arkansas,9,83,15,20,5,.400,.222,.500,9.2,1.7,2.2,0.6,0.2,.089,-3.8,0.0
2023,NBA,2,54,Jalen Slawson,Furman University,12,37,8,7,2,.667,.000,,3.1,0.7,0.6,0.2,0.0,.058,-6.4,0.0
2022,NBA,1,4,Keegan Murray,Iowa,157,4970,2148,791,227,.454,.384,.805,31.7,13.7,5.0,1.4,9.5,.092,-0.7,1.6
2022,NBA,2,37,Jaden Hardy (↳DAL),,121,1697,950,220,174,.420,.379,.800,14.0,7.9,1.8,1.4,1.0,.028,-3.3,-0.6
2021,NBA,1,9,Davion Mitchell,Baylor,227,4624,1690,366,632,.434,.327,.703,20.4,7.4,1.6,2.8,3.0,.031,-3.4,-1.6
2021,NBA,2,39,Neemias Queta,Utah State University,48,482,211,164,27,.596,,.660,10.0,4.4,3.4,0.6,2.0,.200,-0.4,0.2
2020,NBA,1,12,Tyrese Haliburton,Iowa State,260,8547,4483,960,2274,.478,.393,.856,32.9,17.2,3.7,8.7,27.2,.153,4.5,14.0
2020,NBA,2,35,Xavier Tillman (↳MEM),Michigan State,227,3940,1355,935,310,.522,.267,.574,17.4,6.0,4.1,1.4,10.3,.125,0.3,2.3
2020,NBA,2,43,Jahmi'us Ramsey,Texas Tech,39,349,147,45,21,.416,.271,.680,8.9,3.8,1.2,0.5,-0.1,-0.008,-5.4,-0.3
2020,NBA,2,52,Kenyon Martin (↳HOU),,266,5762,2378,1122,323,.544,.337,.662,21.7,8.9,4.2,1.2,11.1,.093,-1.5,0.7
2019,NBA,2,40,Justin James,Wyoming,72,542,228,62,40,.446,.343,.544,7.5,3.2,0.9,0.6,0.3,.024,-3.1,-0.2
2019,NBA,2,47,Ignas Brazdeikis (↳NYK),Michigan,64,838,318,122,58,.416,.315,.686,13.1,5.0,1.9,0.9,0.4,.024,-4.9,-0.6
2018,NBA,1,2,Marvin Bagley,Duke,258,6209,3343,1805,242,.518,.296,.692,24.1,13.0,7.0,0.9,12.0,.093,-1.6,0.6
2018,NBA,2,37,Gary Trent (↳POR),Duke,341,9805,4874,815,512,.422,.386,.819,28.8,14.3,2.4,1.5,15.8,.077,-1.0,2.4
2017,NBA,1,5,De'Aaron Fox,Kentucky,469,15420,9940,1784,2870,.471,.334,.736,32.9,21.2,3.8,6.1,29.6,.092,0.9,11.4
2017,NBA,1,10,Zach Collins (↳POR),Gonzaga,314,6160,2606,1539,574,.479,.336,.750,19.6,8.3,4.9,1.8,9.2,.071,-1.7,0.4
2017,NBA,2,34,Frank Mason,Kansas,103,1616,695,204,272,.396,.301,.755,15.7,6.7,2.0,2.6,1.2,.035,-2.7,-0.3
2016,NBA,1,8,Marquese Chriss (↳PHO),Washington,292,5338,2206,1366,298,.456,.290,.667,18.3,7.6,4.7,1.0,6.5,.058,-2.4,-0.5
2015,NBA,1,6,Willie Cauley-Stein,Kentucky,422,9276,3675,2470,598,.544,.188,.612,22.0,8.7,5.9,1.4,23.3,.121,-0.1,4.4
2014,NBA,1,8,Nik Stauskas,Michigan,343,6701,2290,691,515,.389,.354,.812,19.5,6.7,2.0,1.5,3.9,.028,-3.0,-1.7
2013,NBA,1,7,Ben McLemore,Kansas,556,12534,5015,1269,563,.414,.363,.780,22.5,9.0,2.3,1.0,9.0,.035,-3.1,-3.4
2013,NBA,2,36,Ray McCallum,Detroit Mercy,154,2808,920,306,368,.408,.335,.711,18.2,6.0,2.0,2.4,2.1,.035,-2.6,-0.4
2012,NBA,1,5,Thomas Robinson,Kansas,313,4204,1528,1507,190,.470,.000,.505,13.4,4.9,4.8,0.6,4.6,.053,-3.5,-1.6
2012,NBA,2,36,Orlando Johnson (↳IND),UC Santa Barbara,103,1112,329,180,69,.358,.311,.727,10.8,3.2,1.7,0.7,1.4,.059,-2.4,-0.1
2011,NBA,1,7,Bismack Biyombo (↳CHA),,839,16384,4251,4951,551,.535,.000,.553,19.5,5.1,5.9,0.7,32.4,.095,-2.5,-2.2
2011,NBA,2,35,Tyler Honeycutt,UCLA,24,120,28,24,9,.314,.200,.714,5.0,1.2,1.0,0.4,-0.1,-0.049,-5.1,-0.1
2011,NBA,2,60,Isaiah Thomas,Washington,556,15582,9723,1321,2641,.434,.363,.872,28.0,17.5,2.4,4.8,45.3,.140,2.1,16.1
2010,NBA,1,5,DeMarcus Cousins,Kentucky,654,19508,12802,6664,1979,.460,.331,.737,29.8,19.6,10.2,3.0,46.8,.115,2.4,21.6
2010,NBA,2,33,Hassan Whiteside,Marshall,511,12645,6450,5523,327,.586,.308,.605,24.7,12.6,10.8,0.6,52.0,.197,2.5,14.5
2009,NBA,1,4,Tyreke Evans,Memphis,594,18242,9347,2720,2852,.440,.323,.757,30.7,15.7,4.6,4.8,28.4,.075,0.8,13.1
2009,NBA,1,23,Omri Casspi,,588,11959,4642,2355,662,.454,.368,.678,20.3,7.9,4.0,1.1,19.6,.078,-0.8,3.5
2009,NBA,2,31,Jeff Ayres (↳POR),Arizona State,237,2322,690,632,99,.553,.400,.776,9.8,2.9,2.7,0.4,6.3,.131,-2.3,-0.2
2008,NBA,1,12,Jason Thompson,Rider University,588,14819,5210,3880,635,.496,.143,.657,25.2,8.9,6.6,1.1,23.8,.077,-2.6,-2.4
2008,NBA,2,42,Sean Singletary (↳HOU ↳PHO),Virginia,37,303,90,35,29,.365,.400,.857,8.2,2.4,0.9,0.8,0.0,.006,-5.1,-0.2
2008,NBA,2,43,Patrick Ewing (↳HOU ↳NYK),Georgetown,7,19,3,2,2,.000,.000,.750,2.7,0.4,0.3,0.3,-0.1,-0.158,-9.1,0.0
2007,NBA,1,10,Spencer Hawes,Washington,684,15541,5932,3893,1271,.457,.350,.716,22.7,8.7,5.7,1.9,22.6,.070,-1.1,3.4
2006,NBA,1,19,Quincy Douby,Rutgers University,143,1535,588,152,93,.389,.312,.884,10.7,4.1,1.1,0.7,0.0,.000,-3.5,-0.6
2005,NBA,1,23,Francisco García,Louisville,549,11853,4323,1400,747,.427,.357,.799,21.6,7.9,2.6,1.4,18.2,.074,-0.1,5.7
2004,NBA,1,26,Kevin Martin,Western Carolina University,714,21559,12396,2278,1352,.437,.384,.870,30.2,17.4,3.2,1.9,61.3,.137,1.0,16.1
2002,NBA,1,28,Dan Dickau (↳ATL),Gonzaga,300,4617,1745,405,752,.401,.341,.831,15.4,5.8,1.4,2.5,5.9,.061,-1.5,0.6
2002,NBA,2,58,Corsley Edwards,Central Connecticut State University,10,110,27,25,3,.323,,.583,11.0,2.7,2.5,0.3,0.1,.026,-6.2,-0.1
2001,NBA,1,25,Gerald Wallace,Alabama,832,24731,9933,4838,1725,.469,.312,.709,29.7,11.9,5.8,2.1,59.7,.116,1.8,23.5
2000,NBA,1,16,Hedo Türkoğlu,,997,26695,11022,3971,2832,.426,.384,.784,26.8,11.1,4.0,2.8,63.3,.114,0.9,19.6
2000,NBA,2,45,Jabari Smith,LSU,108,1063,329,178,66,.413,.125,.690,9.8,3.0,1.6,0.6,1.3,.058,-4.3,-0.6
1999,NBA,2,45,Ryan Robertson,Kansas,1,25,5,0,0,.333,.000,1.000,25.0,5.0,0.0,0.0,0.0,-0.022,-5.4,0.0
1998,NBA,1,7,Jason Williams,Florida,788,23188,8266,1810,4611,.398,.327,.813,29.4,10.5,2.3,5.9,38.5,.080,0.2,12.9
1998,NBA,2,36,Jerome James,Florida A&M,358,4771,1540,1099,118,.485,.000,.617,13.3,4.3,3.1,0.3,2.9,.029,-4.9,-3.5
1997,NBA,1,11,Tariq Abdul-Wahad,San Jose State,236,4807,1830,776,266,.417,.237,.703,20.4,7.8,3.3,1.1,3.5,.035,-3.0,-1.2
1997,NBA,2,40,Anthony Johnson,College of Charleston,793,15552,4432,1358,2274,.414,.356,.745,19.6,5.6,1.7,2.9,23.2,.072,-1.5,2.0
1996,NBA,1,14,Peja Stojaković,,804,26966,13647,3782,1408,.450,.401,.895,33.5,17.0,4.7,1.8,82.6,.147,1.9,26.2
1996,NBA,2,41,Jason Sasser,Texas Tech,14,108,30,15,4,.412,.333,.500,7.7,2.1,1.1,0.3,0.0,-0.014,-5.7,-0.1
1995,NBA,1,13,Corliss Williamson,Arkansas,822,18749,9147,3183,972,.490,.136,.714,22.8,11.1,3.9,1.2,34.7,.089,-2.0,-0.1
1995,NBA,2,47,Tyus Edney,UCLA,226,4743,1728,393,910,.405,.322,.806,21.0,7.6,1.7,4.0,6.8,.068,-1.5,0.7
1994,NBA,1,8,Brian Grant,Xavier,756,21417,7933,5622,923,.490,.214,.746,28.3,10.5,7.4,1.2,54.5,.122,-0.8,6.2
1994,NBA,2,35,Michael Smith,Providence,449,10552,2527,3193,661,.538,.143,.529,23.5,5.6,7.1,1.5,23.4,.107,-0.1,5.1
1994,NBA,2,51,Lawrence Funderburke,Ohio State,318,4726,2031,1142,183,.506,.118,.675,14.9,6.4,3.6,0.6,12.9,.131,-0.5,1.8
1993,NBA,1,7,Bobby Hurley,Duke,269,4170,1032,283,880,.353,.272,.769,15.5,3.8,1.1,3.3,-1.2,-0.014,-5.4,-3.5
1993,NBA,2,31,Evers Burns,Maryland,23,143,56,30,9,.400,,.522,6.2,2.4,1.3,0.4,0.1,.020,-5.5,-0.1
1993,NBA,2,52,Mike Peplowski,Michigan State,68,705,194,176,26,.556,.000,.531,10.4,2.9,2.6,0.4,1.0,.067,-4.5,-0.4
1992,NBA,1,7,Walt Williams,Maryland,708,18818,8385,2794,1637,.425,.379,.743,26.6,11.8,3.9,2.3,33.9,.087,0.5,11.8
1991,NBA,1,3,Billy Owens (↳GSW),Syracuse,600,17619,7026,4016,1704,.481,.291,.629,29.4,11.7,6.7,2.8,28.6,.078,-0.2,7.8
1991,NBA,1,27,Pete Chilcutt,UNC,584,8394,2494,1935,488,.441,.381,.696,14.4,4.3,3.3,0.8,10.6,.060,-1.8,0.3
1991,NBA,2,31,Randy Brown,New Mexico State,655,11533,3148,1173,1420,.417,.200,.691,17.6,4.8,1.8,2.2,11.0,.046,-1.9,0.2
1991,NBA,2,42,Steve Hood,James Madison University,,,,,,,,,,,,,,,,
1990,NBA,1,7,Lionel Simmons,La Salle,454,13472,5833,2833,1498,.433,.305,.771,29.7,12.8,6.2,3.3,16.9,.060,0.0,6.7
1990,NBA,1,14,Travis Mays,Texas,115,2964,1273,233,326,.410,.362,.749,25.8,11.1,2.0,2.8,2.4,.039,-2.6,-0.5
1990,NBA,1,18,Duane Causwell,Temple,541,9409,2648,2273,243,.507,.286,.618,17.4,4.9,4.2,0.4,15.8,.081,-2.3,-0.7
1990,NBA,1,23,Anthony Bonner,Saint Louis,318,7372,2199,1726,442,.468,.125,.590,23.2,6.9,5.4,1.4,10.8,.070,-2.0,0.1
1990,NBA,2,40,Bimbo Coles (↳MIA),Virginia Tech,852,20319,6628,1820,3313,.425,.267,.811,23.8,7.8,2.1,3.9,27.4,.065,-1.6,1.9
1989,NBA,1,1,Pervis Ellison,Louisville,474,11593,4494,3170,691,.510,.050,.689,24.5,9.5,6.7,1.5,21.8,.090,-0.5,4.4


