Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2022,NBA,1,23,David Roddy (↳MEM),Colorado State,135,2435,891,404,139,.416,.301,.662,18.0,6.6,3.0,1.0,1.2,.024,-4.4,-1.5
2021,NBA,1,28,Jaden Springer,Tennessee,67,602,207,94,52,.418,.226,.820,9.0,3.1,1.4,0.8,0.8,.067,-2.6,-0.1
2021,NBA,2,50,Filip Petrušev,Gonzaga,3,10,3,1,0,.500,,.500,3.3,1.0,0.3,0.0,0.0,.029,-8.0,0.0
2021,NBA,2,53,Charles Bassey,Western Kentucky,77,881,331,331,75,.658,.231,.655,11.4,4.3,4.3,1.0,2.7,.149,1.0,0.7
2020,NBA,1,21,Tyrese Maxey,Kentucky,266,8227,4833,778,1086,.468,.396,.862,30.9,18.2,2.9,4.1,22.7,.132,1.2,6.6
2020,NBA,2,34,Théo Maledon (↳OKC),,177,3753,1373,489,518,.372,.310,.793,21.2,7.8,2.8,2.9,-0.2,-0.002,-4.6,-2.4
2020,NBA,2,36,Tyler Bey (↳DAL),Colorado,18,71,18,19,3,.318,.250,.600,3.9,1.0,1.1,0.2,0.0,-0.033,-9.5,-0.1
2020,NBA,2,49,Isaiah Joe,Arkansas,247,3832,1678,447,242,.427,.397,.841,15.5,6.8,1.8,1.0,8.4,.105,-0.4,1.5
2020,NBA,2,58,Paul Reed,DePaul,215,2824,1091,903,164,.555,.312,.690,13.1,5.1,4.2,0.8,9.9,.168,0.3,1.7
2019,NBA,1,24,Ty Jerome (↳BOS ↳PHO),Virginia,159,2748,1108,294,411,.421,.352,.826,17.3,7.0,1.8,2.6,3.9,.069,-1.6,0.3
2019,NBA,2,33,Carsen Edwards (↳BOS),Purdue,72,706,267,79,52,.364,.297,.758,9.8,3.7,1.1,0.7,0.3,.019,-5.1,-0.5
2019,NBA,2,34,Bruno Fernando (↳ATL),Maryland,203,2179,814,661,143,.544,.122,.650,10.7,4.0,3.3,0.7,3.6,.078,-3.1,-0.6
2019,NBA,2,42,Admiral Schofield (↳WAS),Tennessee,131,1372,426,215,78,.417,.326,.782,10.5,3.3,1.6,0.6,1.2,.043,-4.6,-0.9
2019,NBA,2,54,Marial Shayok,Iowa State,4,28,11,7,1,.250,.333,.750,7.0,2.8,1.8,0.3,-0.1,-0.130,-13.0,-0.1
2018,NBA,1,10,Mikal Bridges (↳PHO),Villanova,474,15478,6760,1948,1211,.480,.375,.846,32.7,14.3,4.1,2.6,36.3,.113,0.9,11.4
2018,NBA,1,26,Landry Shamet,Wichita State,348,7627,3027,601,570,.408,.384,.840,21.9,8.7,1.7,1.6,12.1,.076,-2.0,0.0
2018,NBA,2,38,Khyri Thomas (↳DET),Creighton,39,409,160,39,36,.388,.316,.750,10.5,4.1,1.0,0.9,0.5,.058,-2.7,-0.1
2018,NBA,2,39,Isaac Bonga (↳LAL),,143,1871,439,320,118,.432,.300,.759,13.1,3.1,2.2,0.8,1.7,.044,-3.6,-0.7
2018,NBA,2,56,Ray Spalding (↳DAL),Louisville,16,167,58,52,5,.529,.000,.286,10.4,3.6,3.3,0.3,0.1,.024,-6.2,-0.2
2018,NBA,2,60,Kostas Antetokounmpo (↳DAL),Dayton,22,87,21,23,3,.375,,.474,4.0,1.0,1.0,0.1,-0.2,-0.098,-9.9,-0.2
2017,NBA,1,1,Markelle Fultz,Washington,234,5939,2595,797,1084,.472,.274,.731,25.4,11.1,3.4,4.6,8.5,.069,-1.1,1.3
2017,NBA,2,36,Jonah Bolden,,51,686,217,174,40,.486,.340,.484,13.5,4.3,3.4,0.8,1.4,.098,-1.3,0.1
