Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2023,NBA,1,15,Kobe Bufkin,Michigan,17,196,81,33,27,.370,.225,.500,11.5,4.8,1.9,1.6,-0.1,-0.031,-4.5,-0.1
2023,NBA,2,46,Seth Lundy,Penn State,9,52,14,7,0,.235,.231,.750,5.8,1.6,0.8,0.0,-0.1,-0.092,-12.7,-0.1
2022,NBA,1,16,A.J. Griffin,Duke,92,1572,687,171,78,.447,.372,.898,17.1,7.5,1.9,0.8,1.8,.053,-1.7,0.1
2022,NBA,2,44,Ryan Rollins (↳GSW),Toledo,25,140,67,25,20,.447,.462,.826,5.6,2.7,1.0,0.8,0.0,-0.010,-3.5,-0.1
2021,NBA,1,20,Jalen Johnson,Duke,148,3051,1343,796,289,.506,.328,.694,20.6,9.1,5.4,2.0,6.0,.095,0.6,2.0
2021,NBA,2,48,Sharife Coooper,Auburn,13,39,7,5,5,.214,.167,,3.0,0.5,0.4,0.4,-0.2,-0.297,-16.3,-0.1
2020,NBA,1,6,Onyeka Okongwu,USC,233,4847,1972,1398,226,.640,.318,.754,20.8,8.5,6.0,1.0,17.7,.175,0.2,2.7
2020,NBA,2,50,Skylar Mays,LSU,105,1111,451,122,182,.445,.345,.859,10.6,4.3,1.2,1.7,2.1,.092,-0.7,0.4
2019,NBA,1,8,Jaxson Hayes (↳NOP),Texas,311,4929,2111,1174,201,.636,.268,.707,15.8,6.8,3.8,0.6,16.4,.160,-0.4,2.0
2019,NBA,1,10,Cam Reddish,Duke,221,5287,2046,612,275,.398,.324,.833,23.9,9.3,2.8,1.2,2.6,.023,-3.2,-1.6
2019,NBA,2,35,Marcos Louzada Silva (↳NOP),,12,185,43,20,8,.326,.355,1.000,15.4,3.6,1.7,0.7,-0.1,-0.034,-8.1,-0.3
2018,NBA,1,3,Luka Dončić (↳DAL),,400,13943,11470,3472,3317,.470,.347,.747,34.9,28.7,8.7,8.3,51.2,.176,7.8,34.3
2018,NBA,1,19,Kevin Huerter,Maryland,413,11887,4920,1433,1258,.444,.382,.766,28.8,11.9,3.5,3.0,17.2,.070,-0.8,3.5
2018,NBA,1,30,Omari Spellman,Villanova,95,1691,642,413,94,.417,.366,.766,17.8,6.8,4.3,1.0,2.4,.068,-1.5,0.2
2018,NBA,2,34,Devonte' Graham (↳CHO),Kansas,336,8359,3733,758,1448,.371,.354,.812,24.9,11.1,2.3,4.3,12.7,.073,-0.5,3.2
2017,NBA,1,19,John Collins,Wake Forest,432,12519,6795,3478,617,.548,.358,.785,29.0,15.7,8.1,1.4,36.7,.141,0.6,8.3
2017,NBA,2,41,Tyler Dorsey,Oregon,107,1680,710,245,135,.392,.351,.669,15.7,6.6,2.3,1.3,1.1,.031,-3.0,-0.5
2016,NBA,1,21,DeAndre' Bembry,Saint Joseph's,296,5670,1750,950,533,.474,.283,.611,19.2,5.9,3.2,1.8,4.4,.038,-2.3,-0.4
2016,NBA,2,54,Kay Felder (↳CLE),Oakland,58,526,223,59,78,.364,.268,.754,9.1,3.8,1.0,1.3,-0.4,-0.041,-4.7,-0.4
2015,NBA,1,15,Kelly Oubre (↳WAS),Kansas,595,15664,7790,2664,639,.435,.327,.751,26.3,13.1,4.5,1.1,22.2,.068,-1.8,0.7
2014,NBA,1,15,Adreian Payne,Michigan State,107,1403,429,315,66,.406,.254,.680,13.1,4.0,2.9,0.6,-0.6,-0.019,-5.9,-1.4
2014,NBA,2,43,Edy Tavares,,13,101,33,32,4,.625,,.273,7.8,2.5,2.5,0.3,0.2,.118,-0.4,0.0
2013,NBA,1,17,Dennis Schröder,,767,20919,10758,2236,3693,.434,.342,.836,27.3,14.0,2.9,4.8,29.5,.068,-1.4,3.1
2013,NBA,1,18,Shane Larkin (↳DAL),Miami (FL),256,4880,1399,490,737,.422,.336,.777,19.1,5.5,1.9,2.9,4.4,.044,-2.4,-0.6
2013,NBA,2,47,Raul Neto (↳UTA),,435,6765,2470,658,913,.458,.361,.812,15.6,5.7,1.5,2.1,11.6,.082,-1.5,0.8
2013,NBA,2,50,James Ennis (↳MIA),Cal State Long Beach,395,8022,2629,1306,373,.457,.360,.797,20.3,6.7,3.3,0.9,16.2,.097,-1.5,0.9
2012,NBA,1,23,John Jenkins,Vanderbilt,171,2183,855,250,138,.441,.367,.847,12.8,5.0,1.5,0.8,3.0,.065,-1.9,0.1
2012,NBA,2,43,Mike Scott,Virginia,555,9182,3736,1727,499,.453,.362,.757,16.5,6.7,3.1,0.9,16.8,.088,-1.7,0.6
2011,NBA,2,48,Keith Benson,Oakland,3,9,0,3,0,.000,,,3.0,0.0,1.0,0.0,0.0,-0.005,-7.7,0.0
2010,NBA,1,24,Damion James (↳NJN),Texas,39,623,150,131,26,.415,.000,.667,16.0,3.8,3.4,0.7,0.0,-0.001,-3.7,-0.3
2010,NBA,2,53,Pape Sy,,3,21,7,3,2,.333,.000,1.000,7.0,2.3,1.0,0.7,0.0,-0.047,-6.0,0.0
2009,NBA,1,19,Jeff Teague,Wake Forest,826,22164,10061,1989,4585,.444,.360,.844,26.8,12.2,2.4,5.6,52.4,.113,0.6,14.3
2007,NBA,1,3,Al Horford,Florida,1078,34259,14167,8574,3501,.513,.379,.760,31.8,13.1,8.0,3.2,112.7,.158,3.0,42.9
2007,NBA,1,11,Acie Law,Texas A&M,188,2385,725,195,309,.413,.235,.778,12.7,3.9,1.0,1.6,1.6,.032,-3.9,-1.1
2006,NBA,1,5,Shelden Williams,Duke,361,5586,1618,1562,163,.462,.222,.740,15.5,4.5,4.3,0.5,9.9,.085,-3.0,-1.5
2006,NBA,2,33,Solomon Jones,South Florida,281,3092,839,654,99,.467,.111,.717,11.0,3.0,2.3,0.4,5.0,.078,-4.0,-1.6
2005,NBA,1,2,Marvin Williams,UNC,1072,30159,10965,5546,1373,.443,.361,.808,28.1,10.2,5.2,1.3,65.1,.104,-0.4,12.3
2005,NBA,2,31,Salim Stoudamire,Arizona,157,2672,1260,214,164,.407,.366,.882,17.0,8.0,1.4,1.0,2.2,.040,-2.9,-0.6
2004,NBA,1,6,Josh Childress,Stanford,391,10432,3548,1850,609,.522,.329,.779,26.7,9.1,4.7,1.6,25.7,.118,0.8,7.4
2004,NBA,1,17,Josh Smith,,894,29000,12996,6653,2789,.452,.285,.632,32.4,14.5,7.4,3.1,51.0,.084,1.7,27.2
2004,NBA,2,34,Donta Smith,Southeastern Illinois College,61,560,165,66,48,.421,.308,.650,9.2,2.7,1.1,0.8,0.5,.043,-3.2,-0.2
2004,NBA,2,37,Royal Ivey,Texas,492,6162,1641,557,501,.406,.361,.706,12.5,3.3,1.1,1.0,4.5,.035,-3.8,-2.7
2003,NBA,1,21,Boris Diaw,,1064,28768,9139,4634,3684,.493,.336,.717,27.0,8.6,4.4,3.5,51.6,.086,0.1,15.5
2003,NBA,2,37,Travis Hansen,BYU,41,507,123,70,19,.354,.300,.815,12.4,3.0,1.7,0.5,0.2,.019,-6.2,-0.5
