Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2023,NBA,1,21,Noah Clowney,Alabama,23,370,133,81,18,.538,.364,.700,16.1,5.8,3.5,0.8,0.9,.111,-0.7,0.1
2023,NBA,1,22,Dariq Miller-Whitehead,Duke,2,24,3,4,3,.200,.000,.500,12.0,1.5,2.0,1.5,0.0,-0.030,-7.9,0.0
2023,NBA,2,51,Jalen Wilson,Kansas,43,664,214,131,45,.425,.324,.826,15.4,5.0,3.0,1.0,1.1,.077,-2.9,-0.2
2021,NBA,1,27,Cameron Thomas,LSU,190,4199,2656,470,348,.440,.344,.855,22.1,14.0,2.5,1.8,4.3,.049,-2.2,-0.2
2021,NBA,2,44,Kessler Edwards,Pepperdine,138,1647,477,275,69,.407,.350,.744,11.9,3.5,2.0,0.5,1.5,.043,-3.5,-0.6
2021,NBA,2,59,RaiQuan Gray,Florida State,4,74,39,16,13,.552,.417,1.000,18.5,9.8,4.0,3.3,0.2,.149,2.9,0.1
2020,NBA,1,19,Saddiq Bey (↳DET),Villanova,292,8804,4103,1532,538,.408,.352,.842,30.2,14.1,5.2,1.8,14.6,.079,-0.7,2.9
2020,NBA,2,55,Jay Scrubb (↳LAC),John A. Logan College,24,235,97,36,10,.416,.313,.765,9.8,4.0,1.5,0.4,-0.1,-0.014,-6.6,-0.3
2019,NBA,1,17,Nickeil Alexander-Walker (↳ATL ↳NOP),Virginia Tech,299,5869,2485,683,659,.407,.354,.730,19.6,8.3,2.3,2.2,6.0,.049,-1.5,0.8
2019,NBA,1,27,Mfiondu Kabengele (↳LAC),Florida State,55,380,143,81,19,.383,.301,.852,6.9,2.6,1.5,0.3,0.4,.055,-3.6,-0.2
2019,NBA,2,31,Nicolas Claxton,Georgia,241,6142,2490,1882,378,.661,.158,.544,25.5,10.3,7.8,1.6,21.8,.170,1.6,5.6
2018,NBA,1,29,Džanan Musa,,49,526,211,91,45,.376,.227,.726,10.7,4.3,1.9,0.9,0.0,.003,-4.6,-0.4
2018,NBA,2,40,Rodions Kurucs,,131,2103,780,406,113,.444,.329,.739,16.1,6.0,3.1,0.9,2.3,.052,-2.8,-0.4
2018,NBA,2,45,Hamidou Diallo (↳CHO ↳OKC),Kentucky,265,4918,2272,1009,283,.495,.274,.623,18.6,8.6,3.8,1.1,6.2,.060,-2.1,-0.1
2017,NBA,1,22,Jarrett Allen,Texas,486,13725,6185,4441,790,.630,.171,.711,28.2,12.7,9.1,1.6,55.1,.193,2.1,14.1
2017,NBA,1,27,Kyle Kuzma (↳LAL),Utah,476,14919,8246,3043,1294,.451,.337,.733,31.3,17.3,6.4,2.7,15.3,.049,-1.1,3.4
2017,NBA,2,57,Aleksandar Vezenkov,,42,511,225,96,19,.440,.375,.800,12.2,5.4,2.3,0.5,1.0,.098,-0.9,0.1
2016,NBA,2,55,Marcus Paige (↳UTA),UNC,5,28,12,4,3,.286,.250,1.000,5.6,2.4,0.8,0.6,0.0,-0.006,-8.8,0.0
2015,NBA,1,29,Chris McCullough,Syracuse,59,532,194,112,15,.426,.306,.548,9.0,3.3,1.9,0.3,0.6,.054,-2.5,-0.1
2015,NBA,2,41,Pat Connaughton (↳POR),Notre Dame,554,10836,3363,1914,759,.436,.358,.773,19.6,6.1,3.5,1.4,23.4,.104,-0.4,4.4
2013,NBA,1,22,Mason Plumlee,Duke,786,17497,6585,5312,1911,.594,.043,.573,22.3,8.4,6.8,2.4,54.1,.149,1.3,14.6
2011,NBA,1,27,JaJuan Johnson (↳BOS),Purdue,36,298,114,58,6,.446,,.667,8.3,3.2,1.6,0.2,0.2,.032,-3.9,-0.1
2011,NBA,2,36,Jordan Williams,Maryland,43,635,197,156,11,.507,,.652,14.8,4.6,3.6,0.3,1.3,.101,-2.1,0.0
2010,NBA,1,3,Derrick Favors,Georgia Tech,790,19202,8354,5608,851,.534,.198,.663,24.3,10.6,7.1,1.1,60.2,.150,0.9,14.0
2010,NBA,1,27,Jordan Crawford (↳ATL),Xavier,281,6843,3432,703,883,.411,.317,.826,24.4,12.2,2.5,3.1,6.3,.044,-1.3,1.3
2010,NBA,2,31,Tibor Pleiß (↳ATL),,12,82,24,15,2,.440,.000,1.000,6.8,2.0,1.3,0.2,-0.1,-0.041,-11.6,-0.2
2009,NBA,1,11,Terrence Williams,Louisville,153,2922,1085,545,364,.412,.317,.659,19.1,7.1,3.6,2.4,-0.2,-0.004,-2.8,-0.6
2008,NBA,1,10,Brook Lopez,Stanford,1025,30976,16476,6336,1472,.496,.349,.796,30.2,16.1,6.2,1.4,85.3,.132,1.3,26.0
2008,NBA,1,21,Ryan Anderson,California,649,16769,8001,3413,586,.422,.380,.854,25.8,12.3,5.3,0.9,46.7,.134,1.0,12.8
2008,NBA,2,40,Chris Douglas-Roberts,Memphis,222,4381,1571,472,254,.439,.329,.831,19.7,7.1,2.1,1.1,5.4,.059,-2.2,-0.2
2007,NBA,1,17,Sean Williams,Boston College,137,1978,581,472,47,.511,.000,.624,14.4,4.2,3.4,0.3,3.0,.073,-3.1,-0.6
2006,NBA,1,22,Marcus Williams,UConn,203,3095,1128,361,574,.386,.321,.767,15.2,5.6,1.8,2.8,0.0,-0.001,-3.3,-1.0
2006,NBA,1,23,Josh Boone,UConn,256,4482,1340,1258,125,.544,,.445,17.5,5.2,4.9,0.5,9.1,.097,-2.0,0.0
2006,NBA,2,54,Hassan Adams,Arizona,73,547,185,84,14,.534,.000,.643,7.5,2.5,1.2,0.2,0.8,.072,-2.3,0.0
2005,NBA,1,15,Antoine Wright,Texas A&M,297,5714,1614,681,295,.412,.304,.674,19.2,5.4,2.3,1.0,3.1,.026,-3.7,-2.4
2005,NBA,2,43,Mile Ilić,,5,6,0,1,0,.000,,,1.2,0.0,0.2,0.0,-0.2,-1.264,-52.0,-0.1
2004,NBA,1,22,Viktor Khryapa (↳POR),,143,2351,643,492,142,.443,.292,.658,16.4,4.5,3.4,1.0,2.0,.041,-3.5,-0.9
2003,NBA,1,22,Zoran Planinić,,148,1584,561,198,165,.405,.289,.677,10.7,3.8,1.3,1.1,1.5,.046,-3.5,-0.6
2003,NBA,2,51,Kyle Korver,Creighton,1232,31183,11953,3643,2114,.442,.429,.877,25.3,9.7,3.0,1.7,73.4,.113,0.6,20.7
2002,NBA,1,24,Nenad Krstić,,419,10547,4210,2261,346,.494,.143,.730,25.2,10.0,5.4,0.8,21.5,.098,-2.6,-1.5
2002,NBA,2,54,Tamar Slay,Marshall,66,517,173,70,31,.361,.265,.538,7.8,2.6,1.1,0.5,-0.3,-0.029,-5.7,-0.5
2001,NBA,1,7,Eddie Griffin (↳HOU),Seton Hall,303,6729,2171,1744,236,.377,.315,.671,22.2,7.2,5.8,0.8,10.9,.078,-0.4,2.8
2001,NBA,2,35,Brian Scalabrine,USC,520,6772,1594,1034,436,.390,.344,.783,13.0,3.1,2.0,0.8,7.6,.054,-2.7,-1.2
2000,NBA,1,1,Kenyon Martin,Cincinnati,757,23134,9325,5159,1439,.483,.234,.629,30.6,12.3,6.8,1.9,48.0,.100,0.1,12.1
2000,NBA,2,36,Soumaila Samake,,47,303,68,76,5,.389,,.462,6.4,1.4,1.6,0.1,0.3,.046,-3.7,-0.1
1999,NBA,2,34,Evan Eschmeyer,Northwestern,153,2138,421,601,76,.463,,.621,14.0,2.8,3.9,0.5,4.0,.090,-3.0,-0.5
1997,NBA,1,7,Tim Thomas (↳PHI),Villanova,824,21336,9454,3379,1272,.437,.369,.758,25.9,11.5,4.1,1.5,35.2,.079,-0.8,6.4
1997,NBA,1,21,Anthony Parker (↳PHI),Bradley,494,13752,4478,1574,1129,.444,.404,.794,27.8,9.1,3.2,2.3,24.5,.085,-0.2,6.1
1996,NBA,1,8,Kerry Kittles,Villanova,507,16929,7165,1983,1295,.439,.378,.780,33.4,14.1,3.9,2.6,44.8,.127,2.2,18.0
1995,NBA,1,9,Ed O'Bannon,UCLA,128,2062,634,316,102,.367,.222,.755,16.1,5.0,2.5,0.8,1.1,.025,-3.5,-0.7
1994,NBA,1,14,Yinka Dare,George Washington,110,1002,233,281,4,.396,,.570,9.1,2.1,2.6,0.0,-0.7,-0.033,-8.4,-1.6
1993,NBA,1,16,Rex Walters,Kansas,335,4602,1547,403,569,.441,.361,.809,13.7,4.6,1.2,1.7,6.3,.066,-2.0,0.0
