Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2023,NBA,2,35,Julian Phillips (↳WAS ↳CHI),Tennessee,40,323,89,36,13,.416,.316,.684,8.1,2.2,0.9,0.3,0.2,.031,-5.3,-0.3
2022,NBA,2,53,JD Davison,Alabama,20,105,35,19,21,.419,.357,.667,5.3,1.8,1.0,1.1,0.3,.122,-1.4,0.0
2020,NBA,1,14,Aaron Nesmith,Vanderbilt,243,5054,2029,768,251,.452,.374,.808,20.8,8.3,3.2,1.0,7.6,.072,-2.2,-0.2
2020,NBA,1,26,Payton Pritchard,Oregon,267,4737,2009,645,604,.444,.395,.862,17.7,7.5,2.4,2.3,12.3,.125,0.1,2.6
2020,NBA,1,30,Desmond Bane (↳MEM),TCU,244,7069,4253,1020,810,.468,.415,.879,29.0,17.4,4.2,3.3,19.0,.129,2.2,7.5
2019,NBA,1,14,Romeo Langford,Indiana,141,2268,650,298,97,.430,.288,.659,16.1,4.6,2.1,0.7,2.0,.043,-3.4,-0.8
2019,NBA,1,20,Matisse Thybulle (↳PHI),Washington,332,6957,1586,658,360,.435,.338,.679,21.0,4.8,2.0,1.1,13.2,.091,0.7,4.7
2019,NBA,1,22,Grant Williams,Tennessee,364,8231,2558,1311,515,.453,.377,.768,22.6,7.0,3.6,1.4,14.8,.086,-1.9,0.3
2019,NBA,2,51,Tremont Waters,LSU,40,407,149,37,85,.354,.296,.960,10.2,3.7,0.9,2.1,0.1,.012,-3.0,-0.1
2018,NBA,1,27,Robert Williams,Texas A&M,215,4403,1575,1485,304,.729,.000,.660,20.5,7.3,6.9,1.4,22.6,.246,4.8,7.5
2017,NBA,1,3,Jayson Tatum,Duke,513,17561,11852,3670,1812,.460,.375,.844,34.2,23.1,7.2,3.5,55.9,.153,3.6,24.6
2017,NBA,2,37,Semi Ojeleye,SMU,284,4111,975,613,126,.384,.344,.717,14.5,3.4,2.2,0.4,5.2,.060,-3.4,-1.5
2017,NBA,2,53,Kadeem Allen,Arizona,47,640,258,71,109,.435,.349,.757,13.6,5.5,1.5,2.3,1.0,.075,-1.2,0.1
2017,NBA,2,56,Jabari Bird,California,13,115,39,19,8,.577,.429,.462,8.8,3.0,1.5,0.6,0.2,.098,-3.1,0.0
2016,NBA,1,3,Jaylen Brown,California,540,16307,10038,2840,1303,.480,.364,.720,30.2,18.6,5.3,2.4,35.3,.104,0.4,9.7
2016,NBA,1,16,Guerschon Yabusele,,74,486,173,105,31,.442,.323,.682,6.6,2.3,1.4,0.4,1.1,.104,-1.9,0.0
2016,NBA,1,23,Ante Žižić,,113,1517,674,446,64,.581,,.711,13.4,6.0,3.9,0.6,3.5,.110,-2.6,-0.2
2016,NBA,2,31,Deyonta Davis (↳MEM),Michigan State,107,1299,454,346,47,.599,.000,.635,12.1,4.2,3.2,0.4,3.6,.131,-2.1,0.0
2016,NBA,2,45,Demetrius Jackson,Notre Dame,26,136,48,19,17,.486,.286,.667,5.2,1.8,0.7,0.7,0.2,.087,-0.5,0.1
2016,NBA,2,51,Ben Bentil,Providence,3,10,0,2,0,.000,.000,,3.3,0.0,0.7,0.0,-0.1,-0.473,-25.9,-0.1
2016,NBA,2,58,Abdel Nader,Iowa State,202,2583,926,376,110,.428,.357,.718,12.8,4.6,1.9,0.5,2.8,.052,-2.6,-0.4
2015,NBA,1,16,Terry Rozier,Louisville,601,16699,8573,2372,2170,.420,.367,.827,27.8,14.3,3.9,3.6,29.5,.085,0.6,10.8
2015,NBA,1,28,R.J. Hunter,Georgia State University,45,395,133,46,19,.371,.295,.818,8.8,3.0,1.0,0.4,0.4,.051,-2.0,0.0
2015,NBA,2,33,Jordan Mickey,LSU,64,482,152,128,17,.449,.118,.605,7.5,2.4,2.0,0.3,0.5,.050,-4.8,-0.3
2014,NBA,1,6,Marcus Smart,Oklahoma State,601,18046,6430,2111,2786,.388,.323,.776,30.0,10.7,3.5,4.6,33.4,.089,-0.3,7.6
2014,NBA,1,17,James Young,Kentucky,95,812,219,96,28,.367,.277,.563,8.5,2.3,1.0,0.3,0.8,.046,-3.4,-0.3
2013,NBA,1,16,Lucas Nogueira (↳DAL ↳ATL),,141,1754,446,388,72,.632,.265,.640,12.4,3.2,2.8,0.5,6.0,.165,2.3,1.9
2012,NBA,1,21,Jared Sullinger,Ohio State,269,6532,2893,2006,477,.436,.272,.723,24.3,10.8,7.5,1.8,15.3,.113,-0.4,2.7
2012,NBA,1,22,Fab Melo,Syracuse,6,36,7,3,0,.500,,.250,6.0,1.2,0.5,0.0,0.0,.021,-7.6,-0.1
2012,NBA,2,51,Kris Joseph,Syracuse,10,54,9,7,1,.143,.000,.625,5.4,0.9,0.7,0.1,-0.1,-0.127,-9.9,-0.1
2011,NBA,1,25,MarShon Brooks (↳NJN),Providence,200,3456,1592,424,282,.447,.345,.751,17.3,8.0,2.1,1.4,3.3,.046,-1.6,0.4
2011,NBA,2,55,E'Twaun Moore,Purdue,598,12564,4743,1208,1055,.455,.388,.742,21.0,7.9,2.0,1.8,14.8,.057,-1.9,0.2
2010,NBA,1,19,Avery Bradley,Texas,660,18151,7279,1863,1105,.434,.365,.783,27.5,11.0,2.8,1.7,17.2,.045,-2.4,-1.8
2010,NBA,2,52,Luke Harangody,Notre Dame,70,871,253,196,36,.376,.241,.737,12.4,3.6,2.8,0.5,0.9,.048,-3.5,-0.3
2009,NBA,2,58,Lester Hudson,University of Tennessee at Martin,57,594,268,77,71,.375,.277,.806,10.4,4.7,1.4,1.2,0.2,.016,-2.1,0.0
2008,NBA,1,30,J.R. Giddens,New Mexico,38,247,73,54,13,.476,.000,.565,6.5,1.9,1.4,0.3,0.1,.027,-4.3,-0.1
2008,NBA,2,60,Semih Erden,,69,928,262,190,29,.546,,.594,13.4,3.8,2.8,0.4,1.8,.094,-3.6,-0.4
2007,NBA,1,5,Jeff Green (↳SEA),Georgetown,1185,32861,14241,4824,1764,.450,.337,.804,27.7,12.0,4.1,1.5,54.6,.080,-1.5,4.4
2007,NBA,2,32,Gabe Pruitt,USC,62,461,125,51,52,.321,.283,.783,7.4,2.0,0.8,0.8,0.4,.043,-2.8,-0.1
2006,NBA,1,7,Randy Foye (↳POR ↳MIN),Villanova,752,19279,7729,1686,2112,.401,.366,.852,25.6,10.3,2.2,2.8,23.5,.058,-1.2,3.8
2005,NBA,1,18,Gerald Green,,658,13026,6412,1639,596,.417,.361,.818,19.8,9.7,2.5,0.9,18.4,.068,-1.3,2.4
2005,NBA,2,50,Ryan Gomes,Providence,487,13463,4926,2239,712,.445,.349,.799,27.6,10.1,4.6,1.5,19.4,.069,-1.6,1.4
2005,NBA,2,53,Orien Greene,Louisiana,131,1555,326,195,155,.387,.212,.642,11.9,2.5,1.5,1.2,-0.7,-0.022,-4.6,-1.0
2004,NBA,1,15,Al Jefferson,,915,26299,14343,7690,1347,.499,.121,.711,28.7,15.7,8.4,1.5,71.0,.130,1.2,21.3
2004,NBA,1,24,Delonte West,Saint Joseph's,432,11842,4198,1265,1540,.448,.372,.826,27.4,9.7,2.9,3.6,24.5,.099,0.9,8.7
2004,NBA,1,25,Tony Allen,Oklahoma State,820,18055,6654,2884,1077,.475,.282,.709,22.0,8.1,3.5,1.3,38.7,.103,0.3,10.4
2004,NBA,2,40,Justin Reed,Ole Miss,136,1436,472,186,68,.404,.000,.752,10.6,3.5,1.4,0.5,0.5,.016,-5.9,-1.4
2003,NBA,1,16,Troy Bell (↳MEM),Boston College,6,34,11,4,4,.222,.000,1.000,5.7,1.8,0.7,0.7,-0.2,-0.326,-19.6,-0.2
2003,NBA,1,20,Dahntay Jones (↳MEM),Duke,624,9799,3353,1082,529,.439,.329,.751,15.7,5.4,1.7,0.8,9.9,.048,-3.7,-4.1
2003,NBA,2,56,Brandon Hunter,Ohio University,67,630,220,187,22,.476,.000,.488,9.4,3.3,2.8,0.3,0.7,.055,-3.7,-0.3
2002,NBA,2,50,Darius Songaila,Wake Forest,495,9229,3415,1689,589,.499,.158,.844,18.6,6.9,3.4,1.2,15.9,.083,-2.1,-0.2
2001,NBA,1,10,Joe Johnson,Arkansas,1277,44236,20407,5059,5001,.441,.371,.802,34.6,16.0,4.0,3.9,82.9,.090,0.4,26.5
2001,NBA,1,11,Kedrick Brown,Okaloosa-Walton Community College,143,1935,509,347,103,.405,.274,.640,13.5,3.6,2.4,0.7,3.0,.074,-1.1,0.4
2001,NBA,1,21,Joseph Forte,UNC,25,125,30,17,17,.234,.000,.800,5.0,1.2,0.7,0.7,-0.4,-0.166,-8.6,-0.2
2000,NBA,1,11,Jérôme Moïso,UCLA,145,1392,386,395,38,.489,.000,.593,9.6,2.7,2.7,0.3,2.1,.074,-2.9,-0.3
1998,NBA,1,10,Paul Pierce,Kansas,1343,45880,26397,7527,4708,.445,.368,.806,34.2,19.7,5.6,3.5,150.0,.157,3.7,65.5
1997,NBA,1,3,Chauncey Billups,Colorado,1043,33008,15802,2992,5636,.415,.387,.894,31.6,15.2,2.9,5.4,120.8,.176,3.2,43.5
1997,NBA,1,6,Ron Mercer,Kentucky,432,13418,5892,1342,921,.429,.250,.808,31.1,13.6,3.1,2.1,9.4,.034,-2.7,-2.5
1996,NBA,1,6,Antoine Walker,Kentucky,893,31531,15647,6891,3170,.414,.325,.633,35.3,17.5,7.7,3.5,38.1,.058,0.3,18.0
1996,NBA,2,38,Steve Hamer,Tennessee,35,268,76,60,7,.526,.000,.552,7.7,2.2,1.7,0.2,0.2,.031,-6.5,-0.3
1995,NBA,1,14,Eric Williams,Providence,658,15731,5642,2139,936,.415,.318,.736,23.9,8.6,3.3,1.4,23.2,.071,-2.4,-1.5
1995,NBA,2,33,Junior Burrough,Virginia,61,495,189,109,15,.376,,.656,8.1,3.1,1.8,0.2,-0.2,-0.018,-7.5,-0.7
1994,NBA,1,9,Eric Montross,UNC,465,8479,2071,2159,207,.490,.000,.478,18.2,4.5,4.6,0.4,8.5,.048,-4.4,-5.2
1993,NBA,1,19,Acie Earl,Iowa,193,2512,980,517,61,.403,.000,.667,13.0,5.1,2.7,0.3,0.3,.005,-5.9,-2.5
1992,NBA,1,21,Jon Barry,Georgia Tech,821,13880,4715,1513,1784,.434,.392,.848,16.9,5.7,1.8,2.2,37.2,.129,1.8,13.4
1992,NBA,2,47,Darren Morningstar,Pitt,23,367,96,81,15,.476,,.600,16.0,4.2,3.5,0.7,0.4,.048,-4.5,-0.2
1991,NBA,1,24,Rick Fox,UNC,930,23723,8966,3517,2649,.450,.349,.770,25.5,9.6,3.8,2.8,44.7,.090,0.0,11.7
1990,NBA,1,19,Dee Brown,Jacksonville University,608,16843,6758,1569,2227,.436,.357,.825,27.7,11.1,2.6,3.7,33.4,.095,0.8,11.6
1989,NBA,1,13,Michael Smith,BYU,141,1328,698,212,142,.474,.150,.835,9.4,5.0,1.5,1.0,1.4,.049,-3.6,-0.5
1989,NBA,2,40,Dino Rađa,,224,7308,3733,1883,356,.497,.000,.735,32.6,16.7,8.4,1.6,14.3,.094,-0.4,3.0
