Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2022,NBA,1,18,Dalen Terry,Arizona,97,895,265,150,103,.441,.238,.609,9.2,2.7,1.5,1.1,1.3,.071,-1.7,0.1
2021,NBA,2,38,Ayo Dosunmu,Illinois,233,6420,2290,650,704,.504,.370,.770,27.6,9.8,2.8,3.0,10.1,.075,-1.7,0.4
2020,NBA,1,4,Patrick Williams,Florida State,213,5902,2070,889,280,.469,.410,.780,27.7,9.7,4.2,1.3,8.0,.065,-1.9,0.2
2020,NBA,2,44,Marko Simonovic,,16,55,23,12,0,.273,.222,.692,3.4,1.4,0.8,0.0,0.0,-0.026,-12.3,-0.1
2019,NBA,1,7,Coby White,UNC,348,10116,4896,1266,1288,.427,.369,.848,29.1,14.1,3.6,3.7,13.5,.064,-1.7,0.8
2019,NBA,2,38,Daniel Gafford,Arkansas,321,6263,2796,1739,317,.711,.000,.668,19.5,8.7,5.4,1.0,25.2,.193,1.5,5.6
2018,NBA,1,7,Wendell Carter,Duke,315,8689,3947,2681,631,.517,.334,.727,27.6,12.5,8.5,2.0,22.5,.124,-0.1,4.2
2018,NBA,1,22,Chandler Hutchison,Boise State,103,1790,558,376,79,.442,.309,.643,17.4,5.4,3.7,0.8,1.1,.030,-3.9,-0.9
2017,NBA,1,16,Justin Patton (↳MIN),Creighton,22,296,86,60,19,.404,.250,.667,13.5,3.9,2.7,0.9,0.4,.066,-2.8,-0.1
2017,NBA,2,38,Jordan Bell (↳GSW),Oregon,161,1937,593,497,201,.552,.200,.636,12.0,3.7,3.1,1.2,4.9,.121,0.2,1.1
2016,NBA,1,14,Denzel Valentine,Michigan State,256,4817,1795,857,466,.394,.360,.787,18.8,7.0,3.3,1.8,4.5,.044,-1.9,0.2
2016,NBA,2,48,Paul Zipser,,98,1667,458,256,82,.371,.335,.769,17.0,4.7,2.6,0.8,0.0,-0.001,-5.2,-1.4
2015,NBA,1,22,Bobby Portis,Arkansas,605,13663,7138,4274,746,.479,.385,.759,22.6,11.8,7.1,1.2,31.1,.109,-0.5,5.3
2014,NBA,1,16,Jusuf Nurkić (↳DEN),,539,13284,6538,4821,1353,.503,.280,.667,24.6,12.1,8.9,2.5,31.8,.115,0.5,8.4
2014,NBA,1,19,Gary Harris (↳DEN),Michigan State,570,15954,6295,1351,1111,.447,.370,.813,28.0,11.0,2.4,1.9,25.8,.078,-1.3,2.8
