Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2023,NBA,1,10,Cason Wallace (↳OKC),Kentucky,82,1692,561,187,120,.491,.419,.784,20.6,6.8,2.3,1.5,4.0,.115,0.1,0.9
2022,NBA,1,26,Wendell Moore (↳HOU ↳MIN),Duke,54,228,60,30,24,.443,.087,.800,4.2,1.1,0.6,0.4,0.2,.036,-2.6,0.0
2020,NBA,1,18,Josh Green,Arizona,223,4528,1435,605,340,.503,.375,.689,20.3,6.4,2.7,1.5,7.7,.082,-2.3,-0.4
2020,NBA,2,31,Tyrell Terry,Stanford,13,59,13,6,6,.353,.000,.333,4.5,1.0,0.5,0.5,0.0,-0.035,-4.8,0.0
2019,NBA,2,37,Deividas Sirvydis (↳DET),,23,160,44,35,6,.300,.314,.500,7.0,1.9,1.5,0.3,-0.1,-0.032,-5.9,-0.2
2018,NBA,1,5,Trae Young (↳ATL),Oklahoma,407,13883,10379,1451,3868,.436,.355,.873,34.1,25.5,3.6,9.5,37.6,.130,3.0,17.5
2018,NBA,2,33,Jalen Brunson,Villanova,422,11939,7131,1362,1974,.489,.391,.824,28.3,16.9,3.2,4.7,37.2,.150,2.1,12.4
2018,NBA,2,54,Shake Milton (↳PHI),SMU,302,5861,2584,679,754,.451,.358,.827,19.4,8.6,2.2,2.5,10.4,.085,-2.0,0.0
2017,NBA,1,9,Dennis Smith,NC State,326,7601,3160,967,1381,.407,.298,.674,23.3,9.7,3.0,4.2,2.3,.015,-2.1,-0.2
2016,NBA,2,46,A.J. Hammons,Purdue,22,163,48,36,4,.405,.500,.450,7.4,2.2,1.6,0.2,0.0,-0.001,-6.6,-0.2
2015,NBA,1,21,Justin Anderson,Virginia,242,3280,1284,621,184,.410,.292,.775,13.6,5.3,2.6,0.8,4.9,.072,-1.5,0.4
2013,NBA,1,13,Kelly Olynyk (↳BOS),Gonzaga,756,17109,7755,3918,1847,.485,.369,.798,22.6,10.3,5.2,2.4,44.4,.125,0.9,12.6
2013,NBA,2,44,Mike Muscala (↳ATL),Bucknell,548,8239,3206,1699,464,.451,.373,.830,15.0,5.9,3.1,0.8,19.2,.112,-0.2,3.7
2012,NBA,1,17,Tyler Zeller (↳CLE),UNC,414,7254,2873,1820,367,.508,.286,.764,17.5,6.9,4.4,0.9,17.1,.113,-2.0,0.0
2012,NBA,2,55,Darius Johnson-Odom (↳LAL),Marquette,7,21,0,6,2,.000,.000,.000,3.0,0.0,0.9,0.3,-0.3,-0.597,-25.5,-0.1
2011,NBA,1,26,Jordan Hamilton (↳POR ↳DEN),Texas,151,2100,890,429,127,.408,.357,.670,13.9,5.9,2.8,0.8,3.0,.069,-0.1,1.0
2010,NBA,2,50,Solomon Alabi (↳TOR),Florida State,26,181,39,61,5,.314,,.700,7.0,1.5,2.3,0.2,0.0,.010,-4.4,-0.1
2009,NBA,1,24,Byron Mullens (↳OKC),Ohio State,189,3446,1398,790,153,.408,.319,.706,18.2,7.4,4.2,0.8,0.6,.008,-4.0,-1.8
2007,NBA,2,34,Nick Fazekas,Nevada,26,269,107,89,11,.561,.000,.682,10.3,4.1,3.4,0.4,0.8,.148,0.5,0.2
2006,NBA,1,28,Maurice Ager,Michigan State,82,505,169,46,19,.339,.250,.566,6.2,2.1,0.6,0.2,-0.9,-0.089,-9.4,-0.9
2004,NBA,2,50,Vassilis Spanoulis (↳HOU),,31,272,85,22,28,.319,.172,.810,8.8,2.7,0.7,0.9,-0.1,-0.010,-5.9,-0.3
2003,NBA,1,29,Josh Howard,Wake Forest,507,15350,7270,2886,817,.448,.332,.770,30.3,14.3,5.7,1.6,38.0,.119,0.6,10.0
2001,NBA,2,54,Kenny Satterfield (↳DEN),Cincinnati,75,1062,321,95,176,.335,.218,.746,14.2,4.3,1.3,2.3,-1.1,-0.051,-4.1,-0.6
2000,NBA,1,12,Etan Thomas,Syracuse,409,7084,2341,1927,149,.513,,.603,17.3,5.7,4.7,0.4,14.9,.101,-2.1,-0.2
