Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2023,NBA,1,4,Amen Thompson,,62,1388,592,409,163,.536,.138,.684,22.4,9.5,6.6,2.6,4.3,.149,1.8,1.3
2023,NBA,1,20,Cam Whitmore,Villanova,47,880,579,180,33,.454,.359,.679,18.7,12.3,3.8,0.7,1.5,.082,0.1,0.5
2022,NBA,1,3,Jabari Smith,Auburn,155,4875,2054,1185,222,.430,.335,.798,31.5,13.3,7.6,1.4,7.5,.074,-2.0,0.0
2022,NBA,1,17,Tari Eason,LSU,104,2247,975,649,115,.452,.347,.730,21.6,9.4,6.2,1.1,3.8,.082,-1.0,0.6
2021,NBA,1,2,Jalen Green,,225,7341,4450,933,748,.421,.337,.794,32.6,19.8,4.1,3.3,5.6,.036,-1.7,0.5
2021,NBA,1,23,Usman Garuba,,105,1228,276,397,82,.467,.363,.625,11.7,2.6,3.8,0.8,2.3,.090,-1.4,0.2
2021,NBA,1,24,Josh Christopher,Arizona State,138,2120,959,257,223,.455,.277,.740,15.4,6.9,1.9,1.6,0.3,.006,-3.8,-1.0
2018,NBA,2,46,De'Anthony Melton (↳PHO),USC,350,8026,3169,1296,971,.410,.369,.782,22.9,9.1,3.7,2.8,14.1,.084,0.6,5.3
2017,NBA,2,43,Isaiah Hartenstein,,322,5784,1947,1812,538,.596,.310,.689,18.0,6.0,5.6,1.7,21.2,.176,1.8,5.5
2017,NBA,2,45,Dillon Brooks (↳MEM),Oregon,417,12115,5917,1319,854,.418,.345,.802,29.1,14.2,3.2,2.0,9.6,.038,-3.8,-5.5
2016,NBA,2,37,Chinanu Onuaku,Louisville,6,74,18,14,4,.583,,1.000,12.3,3.0,2.3,0.7,0.1,.043,-5.4,-0.1
2016,NBA,2,43,Zhou Qi,,19,125,24,22,2,.212,.105,.667,6.6,1.3,1.2,0.1,-0.2,-0.093,-9.6,-0.2
2015,NBA,1,18,Sam Dekker,Wisconsin,201,3097,1094,607,160,.478,.288,.606,15.4,5.4,3.0,0.8,5.4,.083,-1.4,0.5
2015,NBA,2,32,Montrezl Harrell,Louisville,515,10544,6220,2588,675,.619,.108,.664,20.5,12.1,5.0,1.3,42.9,.195,2.6,12.2
2014,NBA,1,25,Clint Capela,,609,16227,7466,6516,614,.621,.000,.545,26.6,12.3,10.7,1.0,66.4,.196,1.8,15.6
2014,NBA,2,42,Nick Johnson,Arizona,28,262,74,39,11,.347,.238,.680,9.4,2.6,1.4,0.4,-0.1,-0.020,-6.5,-0.3
2013,NBA,2,34,Isaiah Canaan,Murray State,235,4799,1913,438,454,.371,.351,.836,20.4,8.1,1.9,1.9,4.3,.043,-2.4,-0.5
2012,NBA,1,12,Jeremy Lamb (↳OKC),UConn,573,11896,5805,2073,904,.439,.342,.857,20.8,10.1,3.6,1.6,26.8,.108,0.6,7.9
2012,NBA,1,16,Royce White,Iowa State,3,9,0,0,0,.000,,,3.0,0.0,0.0,0.0,0.0,-0.121,-16.9,0.0
2012,NBA,1,18,Terrence Jones,Kentucky,234,5562,2431,1334,238,.501,.297,.621,23.8,10.4,5.7,1.0,14.7,.127,0.5,3.6
