Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2023,NBA,1,18,Jaime Jaquez,UCLA,75,2113,889,285,195,.489,.322,.811,28.2,11.9,3.8,2.6,4.0,.092,-1.9,0.1
2022,NBA,1,27,Nikola Jovic,,61,1100,434,223,100,.443,.369,.773,18.0,7.1,3.7,1.6,2.1,.094,-0.4,0.4
2020,NBA,1,20,Precious Achiuwa,Memphis,263,5226,2041,1496,258,.481,.307,.608,19.9,7.8,5.7,1.0,9.5,.087,-2.4,-0.5
2019,NBA,1,13,Tyler Herro,Kentucky,284,9038,5147,1403,1036,.440,.385,.872,31.8,18.1,4.9,3.6,12.5,.067,-0.1,4.5
2019,NBA,2,44,Bol Bol (↳DEN),Oregon,166,2302,999,605,104,.550,.327,.745,13.9,6.0,3.6,0.6,4.1,.086,-0.6,0.8
2017,NBA,1,14,Bam Adebayo,Kentucky,489,14680,7513,4275,1707,.547,.221,.755,30.0,15.4,8.7,3.5,50.1,.164,2.6,17.2
2015,NBA,1,10,Justise Winslow,Duke,344,8906,2829,1760,889,.412,.315,.638,25.9,8.2,5.1,2.6,8.2,.044,-2.1,-0.3
2015,NBA,2,40,Josh Richardson,Tennessee,546,15665,6349,1673,1451,.429,.364,.846,28.7,11.6,3.1,2.7,27.7,.085,-0.6,5.7
2014,NBA,1,26,P.J. Hairston (↳CHA),UNC,111,2000,664,266,59,.343,.295,.810,18.0,6.0,2.4,0.5,0.9,.021,-3.9,-1.0
2014,NBA,2,55,Semaj Christon (↳CHA),Xavier,64,973,183,87,130,.345,.190,.548,15.2,2.9,1.4,2.0,0.1,.006,-5.1,-0.8
2012,NBA,1,27,Arnett Moultrie (↳PHI),Mississippi State,59,729,210,180,12,.547,,.667,12.4,3.6,3.1,0.2,1.7,.113,-2.8,-0.1
2011,NBA,2,31,Bojan Bogdanović (↳MIN ↳NJN),,719,20890,11184,2559,1194,.460,.394,.859,29.1,15.6,3.6,1.7,37.6,.086,-0.9,5.8
