Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2023,NBA,1,2,Brandon Miller,Alabama,74,2383,1279,315,175,.440,.373,.827,32.2,17.3,4.3,2.4,0.8,.015,-2.6,-0.3
2023,NBA,1,27,Nick Smith,Arkansas,51,729,302,72,59,.391,.432,.867,14.3,5.9,1.4,1.2,-0.5,-0.036,-5.9,-0.7
2023,NBA,2,34,Colby Jones (↳BOS ↳SAC),Xavier,30,192,64,40,20,.394,.091,.545,6.4,2.1,1.3,0.7,0.0,.007,-5.0,-0.1
2023,NBA,2,39,Mouhamed Gueye (↳BOS ↳ATL),Washington State,6,73,24,22,4,.348,.333,.833,12.2,4.0,3.7,0.7,0.2,.127,-1.5,0.0
2023,NBA,2,41,Amari Bailey,UCLA,10,65,23,9,7,.333,.125,.857,6.5,2.3,0.9,0.7,-0.1,-0.044,-8.3,-0.1
2022,NBA,1,13,Jalen Duren (↳NYK ↳DET),Memphis,128,3447,1453,1304,222,.631,.000,.707,26.9,11.4,10.2,1.7,9.3,.130,-0.4,1.3
2022,NBA,1,15,Mark Williams,Duke,62,1336,629,488,40,.642,,.702,21.5,10.1,7.9,0.6,4.9,.177,0.3,0.8
2022,NBA,2,45,Josh Minott (↳MIN),Memphis,47,187,96,42,13,.486,.375,.909,4.0,2.0,0.9,0.3,0.7,.183,1.7,0.2
2021,NBA,1,11,James Bouknight,UConn,79,900,383,133,73,.363,.335,.762,11.4,4.8,1.7,0.9,-0.3,-0.017,-5.9,-0.9
2021,NBA,2,56,Scottie Lewis,Florida,2,7,1,0,1,,,.500,3.5,0.5,0.0,0.5,0.0,.164,6.0,0.0
2020,NBA,1,3,LaMelo Ball,,184,5870,3675,1147,1364,.427,.374,.834,31.9,20.0,6.2,7.4,11.6,.095,2.8,7.1
2020,NBA,2,32,Vernon Carey,Duke,37,187,72,50,5,.474,.143,.654,5.1,1.9,1.4,0.1,0.2,.058,-6.3,-0.2
2020,NBA,2,56,Grant Riller,College of Charleston,7,27,18,1,3,.667,.500,,3.9,2.6,0.1,0.4,0.1,.177,5.1,0.0
2019,NBA,1,12,PJ Washington,Kentucky,333,10082,4285,1840,747,.447,.354,.705,30.3,12.9,5.5,2.2,12.5,.059,-1.2,1.9
2019,NBA,2,36,Cody Martin,Nevada,206,4505,1235,737,475,.442,.317,.651,21.9,6.0,3.6,2.3,5.9,.063,-1.7,0.3
2019,NBA,2,52,Jalen McDaniels,San Diego State,248,4543,1699,829,291,.449,.322,.777,18.3,6.9,3.3,1.2,5.3,.056,-3.3,-1.5
2018,NBA,1,11,Shai Gilgeous-Alexander (↳LAC),Kentucky,386,12693,8810,1832,1876,.496,.349,.852,32.9,22.8,4.7,4.9,43.6,.165,4.3,20.2
2018,NBA,2,55,Arnoldas Kulboka,,2,5,0,0,0,.000,.000,,2.5,0.0,0.0,0.0,0.0,-0.217,-21.8,0.0
2017,NBA,1,11,Malik Monk,Kentucky,458,9889,5327,1132,1295,.433,.355,.844,21.6,11.6,2.5,2.8,12.4,.060,-1.1,2.2
2017,NBA,2,31,Frank Jackson (↳NOP),Duke,214,3873,1816,392,222,.421,.332,.786,18.1,8.5,1.8,1.0,2.5,.031,-3.9,-1.9
2016,NBA,1,22,Malachi Richardson (↳SAC),Syracuse,70,625,198,70,24,.358,.301,.783,8.9,2.8,1.0,0.3,-0.1,-0.009,-6.1,-0.7
2015,NBA,1,9,Frank Kaminsky,Wisconsin,413,8160,3630,1579,651,.430,.349,.746,19.8,8.8,3.8,1.6,15.9,.094,-0.2,3.7
2014,NBA,1,9,Noah Vonleh,Indiana,362,5854,1685,1790,264,.459,.307,.692,16.2,4.7,4.9,0.7,9.4,.077,-2.5,-0.7
2014,NBA,1,24,Shabazz Napier (↳MIA),UConn,345,5986,2433,657,849,.397,.345,.815,17.4,7.1,1.9,2.5,8.1,.065,-0.7,2.0
2014,NBA,2,45,Dwight Powell (↳CLE ↳BOS),Stanford,650,12014,4640,2877,677,.602,.293,.739,18.5,7.1,4.4,1.0,46.2,.185,0.9,8.7
2013,NBA,1,4,Cody Zeller,Indiana,552,11510,4376,3125,740,.520,.220,.727,20.9,7.9,5.7,1.3,33.5,.140,-0.7,3.9
2012,NBA,1,2,Michael Kidd-Gilchrist,Kentucky,446,10978,3750,2420,515,.474,.272,.715,24.6,8.4,5.4,1.2,21.0,.092,-1.8,0.6
2012,NBA,2,31,Jeffery Taylor,Vanderbilt,132,2566,807,263,107,.409,.319,.665,19.4,6.1,2.0,0.8,1.3,.024,-4.2,-1.5
2011,NBA,1,9,Kemba Walker,UConn,750,24810,14486,2831,3938,.418,.360,.840,33.1,19.3,3.8,5.3,59.8,.116,2.8,29.8
2011,NBA,1,19,Tobias Harris (↳MIL),Tennessee,897,28422,14602,5537,2131,.478,.368,.835,31.7,16.3,6.2,2.4,70.2,.119,1.0,21.6
