Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2023,NBA,1,7,Bilal Coulibaly (↳WAS),,63,1715,532,256,110,.435,.346,.702,27.2,8.4,4.1,1.7,0.4,.013,-4.2,-0.9
2023,NBA,1,26,Ben Sheppard,Belmont,57,814,252,89,53,.393,.314,.885,14.3,4.4,1.6,0.9,0.8,.046,-3.4,-0.3
2023,NBA,1,29,Julian Strawther (↳DEN),Gonzaga,50,545,227,61,47,.369,.297,.710,10.9,4.5,1.2,0.9,0.2,.015,-6.0,-0.6
2023,NBA,2,32,Jalen Pickett (↳DEN),Penn State,27,122,42,14,21,.429,.360,.750,4.5,1.6,0.5,0.8,0.2,.065,-3.3,0.0
2023,NBA,2,55,Isaiah Wong,Miami (FL),1,4,2,0,0,.333,.000,,4.0,2.0,0.0,0.0,0.0,-0.277,-19.0,0.0
2022,NBA,1,6,Bennedict Mathurin,Arizona,137,3760,2158,552,235,.439,.344,.826,27.4,15.8,4.0,1.7,3.2,.041,-3.6,-1.5
2022,NBA,2,31,Andrew Nembhard,Gonzaga,143,3770,1335,340,621,.467,.353,.797,26.4,9.3,2.4,4.3,3.3,.042,-2.8,-0.7
2021,NBA,1,13,Chris Duarte,Oregon,160,3157,1312,447,222,.405,.347,.816,19.7,8.2,2.8,1.4,1.6,.024,-3.1,-0.9
2021,NBA,2,54,Sandro Mamukelashvili (↳MIL),Seton Hall,130,1518,607,414,133,.454,.330,.726,11.7,4.7,3.2,1.0,3.0,.096,-1.3,0.3
2021,NBA,2,60,Georgios Kalaitzakis (↳MIL),,13,213,86,21,12,.463,.385,.467,16.4,6.6,1.6,0.9,-0.1,-0.024,-7.0,-0.3
2020,NBA,2,54,Cassius Stanley,Duke,33,248,88,39,5,.360,.233,.895,7.5,2.7,1.2,0.2,0.0,-0.006,-7.9,-0.4
2019,NBA,1,18,Goga Bitadze,,249,3175,1230,856,233,.515,.245,.672,12.8,4.9,3.4,0.9,9.1,.137,0.0,1.6
2019,NBA,2,50,Jarrell Brantley (↳UTA),College of Charleston,41,273,110,53,29,.457,.380,.833,6.7,2.7,1.3,0.7,0.6,.108,0.0,0.1
2018,NBA,1,23,Aaron Holiday,UCLA,386,6574,2557,631,817,.419,.380,.854,17.0,6.6,1.6,2.1,8.1,.059,-2.1,-0.2
2018,NBA,2,50,Alize Johnson,Missouri State,76,568,189,228,32,.481,.227,.711,7.5,2.5,3.0,0.4,1.3,.108,-2.4,-0.1
2017,NBA,1,18,T.J. Leaf,UCLA,146,1238,477,283,43,.492,.341,.585,8.5,3.3,1.9,0.3,2.7,.104,-1.8,0.1
