Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2023,NBA,1,9,Taylor Hendricks,Central Florida,40,856,292,185,32,.450,.379,.793,21.4,7.3,4.6,0.8,1.2,.070,-1.6,0.1
2023,NBA,1,16,Keyonte George,Baylor,75,2023,974,211,332,.391,.334,.848,27.0,13.0,2.8,4.4,-0.3,-0.008,-4.4,-1.2
2023,NBA,1,28,Brice Sensabaugh,Ohio State,32,584,241,102,55,.390,.296,.902,18.3,7.5,3.2,1.7,-0.3,-0.024,-5.5,-0.5
2021,NBA,1,30,Santi Aldama (↳MEM),Loyola (MD),170,3660,1482,810,256,.447,.333,.692,21.5,8.7,4.8,1.5,7.2,.095,-0.4,1.4
2020,NBA,1,27,Udoka Azubuike,Kansas,84,724,256,235,14,.758,,.444,8.6,3.0,2.8,0.2,2.0,.133,-1.5,0.1
2020,NBA,2,38,Saben Lee (↳DET),Vanderbilt,134,1943,697,260,378,.421,.271,.734,14.5,5.2,1.9,2.8,3.5,.085,-1.4,0.3
2019,NBA,1,23,Darius Bazley (↳MEM ↳OKC),,237,5536,2113,1244,282,.414,.309,.677,23.4,8.9,5.2,1.2,3.1,.027,-2.4,-0.6
2019,NBA,2,53,Justin Wright-Foreman,Hofstra,4,45,19,5,7,.350,.200,.750,11.3,4.8,1.3,1.8,0.0,-0.008,-9.0,-0.1
2018,NBA,1,21,Grayson Allen,Duke,339,8683,3570,1022,675,.452,.412,.866,25.6,10.5,3.0,2.0,20.0,.111,0.0,4.5
2018,NBA,2,52,Vince Edwards (↳HOU),Purdue,2,16,3,2,0,.250,.250,,8.0,1.5,1.0,0.0,0.0,-0.014,-6.4,0.0
2017,NBA,1,24,Tyler Lydon (↳DEN),Syracuse,26,96,23,18,6,.500,.400,.333,3.7,0.9,0.7,0.2,0.2,.084,-4.3,-0.1
2017,NBA,1,30,Josh Hart (↳LAL),Villanova,453,13232,4422,2969,1235,.459,.344,.748,29.2,9.8,6.6,2.7,27.4,.099,0.0,6.6
2017,NBA,2,42,Thomas Bryant (↳LAL),Indiana,267,4947,2529,1451,273,.596,.355,.768,18.5,9.5,5.4,1.0,17.4,.168,1.1,3.9
2017,NBA,2,55,Nigel Williams-Goss,Gonzaga,10,50,14,6,6,.313,.286,1.000,5.0,1.4,0.6,0.6,0.0,.017,-3.9,0.0
2016,NBA,1,12,Taurean Waller-Prince (↳ATL),Baylor,502,12236,5089,1804,850,.424,.376,.811,24.4,10.1,3.6,1.7,11.5,.045,-2.1,-0.3
2016,NBA,2,42,Isaiah Whitehead (↳BRK),Seton Hall,89,1823,643,210,212,.411,.305,.788,20.5,7.2,2.4,2.4,-0.9,-0.025,-5.0,-1.4
2016,NBA,2,52,Joel Bolomboy,Weber State,18,91,31,27,2,.545,.200,.500,5.1,1.7,1.5,0.1,0.3,.132,-0.1,0.0
2016,NBA,2,60,Tyrone Wallace,California,112,1714,566,236,127,.422,.207,.656,15.3,5.1,2.1,1.1,0.1,.003,-5.2,-1.4
2015,NBA,1,12,Trey Lyles,Kentucky,581,10621,4484,2510,615,.443,.347,.745,18.3,7.7,4.3,1.1,19.4,.088,-1.0,2.5
2014,NBA,1,5,Dante Exum,,300,5633,1817,590,672,.431,.336,.767,18.8,6.1,2.0,2.2,5.9,.051,-2.8,-1.2
2014,NBA,1,23,Rodney Hood,Duke,448,10977,4656,1160,736,.420,.366,.841,24.5,10.4,2.6,1.6,17.4,.076,-1.2,2.2
2014,NBA,2,35,Jarnell Stokes (↳MEM),Tennessee,28,151,67,40,7,.581,,.531,5.4,2.4,1.4,0.3,0.6,.202,0.1,0.1
2013,NBA,1,14,Shabazz Muhammad (↳MIN),UCLA,278,4772,2504,770,151,.473,.319,.751,17.2,9.0,2.8,0.5,8.5,.085,-2.0,0.0
2013,NBA,1,21,Gorgui Dieng (↳MIN),Louisville,628,12625,4591,3534,837,.496,.355,.791,20.1,7.3,5.6,1.3,30.7,.117,0.2,7.1
2013,NBA,2,46,Erick Green (↳DEN),Virginia Tech,52,452,159,37,42,.377,.288,.857,8.7,3.1,0.7,0.8,0.1,.011,-4.0,-0.2
2012,NBA,2,47,Kevin Murphy,Tennessee Technological University,17,52,15,4,2,.250,.200,,3.1,0.9,0.2,0.1,-0.3,-0.272,-16.8,-0.2
2011,NBA,1,3,Enes Kanter,,748,16101,8349,5822,638,.548,.289,.777,21.5,11.2,7.8,0.9,52.8,.157,-0.1,7.6
2011,NBA,1,12,Alec Burks,Colorado,742,16713,7990,2518,1466,.415,.383,.806,22.5,10.8,3.4,2.0,30.0,.086,-0.6,6.1
2010,NBA,1,9,Gordon Hayward,Butler,835,25654,12687,3698,2940,.455,.370,.822,30.7,15.2,4.4,3.5,63.4,.119,1.6,23.0
2010,NBA,2,55,Jeremy Evans,Western Kentucky,250,2626,879,641,107,.569,.231,.687,10.5,3.5,2.6,0.4,8.2,.150,0.9,1.9
2009,NBA,1,20,Eric Maynor,VCU,267,3896,1141,348,760,.392,.350,.721,14.6,4.3,1.3,2.8,3.3,.041,-2.9,-0.8
2008,NBA,1,23,Kosta Koufos,Ohio State,686,11271,3913,3452,359,.534,.000,.582,16.4,5.7,5.0,0.5,28.3,.120,-1.3,2.0
2007,NBA,1,25,Morris Almond,Rice University,38,361,119,46,12,.381,.292,.743,9.5,3.1,1.2,0.3,0.0,.005,-6.1,-0.4
2006,NBA,1,14,Ronnie Brewer,Arkansas,502,11539,3940,1427,828,.490,.254,.675,23.0,7.8,2.8,1.6,30.4,.127,1.6,10.6
2006,NBA,2,46,Dee Brown,Illinois,68,711,140,69,119,.340,.250,.643,10.5,2.1,1.0,1.8,0.1,.008,-3.0,-0.2
2006,NBA,2,47,Paul Millsap,Louisiana Tech,1085,30498,14536,7673,2378,.489,.341,.736,28.1,13.4,7.1,2.2,95.4,.150,1.9,29.9
