Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2023,NBA,1,30,Kobe Brown,Missouri,44,394,89,62,25,.411,.292,.500,9.0,2.0,1.4,0.6,0.5,.055,-3.8,-0.2
2023,NBA,2,48,Jordan Miller,Miami (FL),8,28,13,5,0,.556,.500,1.000,3.5,1.6,0.6,0.0,0.1,.116,-3.8,0.0
2022,NBA,2,43,Moussa Diabate,Michigan,33,259,88,74,8,.515,.500,.633,7.8,2.7,2.2,0.2,0.8,.141,-1.2,0.1
2021,NBA,1,25,Quentin Grimes (↳NYK),Houston,168,3932,1433,423,260,.428,.371,.772,23.4,8.5,2.5,1.5,7.5,.091,-0.7,1.3
2020,NBA,2,57,Reggie Perry (↳BRK),Mississippi State,36,398,170,120,26,.459,.189,.679,11.1,4.7,3.3,0.7,0.4,.048,-5.5,-0.3
2019,NBA,2,48,Terance Mann,Florida State,345,7687,2814,1252,669,.503,.373,.793,22.3,8.2,3.6,1.9,18.5,.115,-0.7,2.5
2018,NBA,1,12,Miles Bridges (↳CHO),Michigan State,360,11041,5342,2146,887,.470,.347,.813,30.7,14.8,6.0,2.5,18.2,.079,-0.4,4.4
2018,NBA,1,13,Jerome Robinson,Boston College,135,1685,545,214,136,.361,.297,.711,12.5,4.0,1.6,1.0,-0.2,-0.004,-4.8,-1.2
2016,NBA,1,25,Brice Johnson,UNC,21,107,47,34,3,.449,.000,.600,5.1,2.2,1.6,0.1,0.1,.062,-0.6,0.0
2016,NBA,2,33,Cheick Diallo (↳NOP),Kansas,183,2186,958,759,78,.596,.286,.774,11.9,5.2,4.1,0.4,6.3,.139,-1.4,0.3
2014,NBA,1,28,C.J. Wilcox,Washington,66,376,132,31,30,.370,.333,.813,5.7,2.0,0.5,0.5,0.1,.007,-4.3,-0.2
2013,NBA,1,25,Reggie Bullock,UNC,556,12556,4039,1451,647,.424,.385,.827,22.6,7.3,2.6,1.2,21.4,.082,-1.2,2.6
2012,NBA,2,53,Furkan Aldemir (↳HOU),,41,540,93,176,28,.513,.000,.481,13.2,2.3,4.3,0.7,1.4,.122,-3.6,-0.2
2011,NBA,2,37,Trey Thompkins,Georgia,24,119,57,24,3,.393,.308,.714,5.0,2.4,1.0,0.1,0.0,.004,-5.7,-0.1
2011,NBA,2,47,Travis Leslie,Georgia,10,45,14,9,5,.357,,.444,4.5,1.4,0.9,0.5,0.1,.060,-0.3,0.0
2010,NBA,1,8,Al-Farouq Aminu,Wake Forest,711,17698,5350,4280,879,.420,.332,.746,24.9,7.5,6.0,1.2,27.6,.075,-0.6,6.5
2010,NBA,2,54,Willie Warren,Oklahoma,19,134,37,12,27,.371,.333,.750,7.1,1.9,0.6,1.4,0.2,.065,-2.7,0.0
2009,NBA,1,1,Blake Griffin,Oklahoma,765,24384,14513,6109,3055,.493,.328,.696,31.9,19.0,8.0,4.0,81.1,.160,3.3,32.8
2008,NBA,1,7,Eric Gordon,Indiana,886,28116,13868,2067,2443,.430,.371,.811,31.7,15.7,2.3,2.8,41.1,.070,-0.7,8.9
2008,NBA,2,35,DeAndre Jordan,Texas A&M,1055,27176,9274,10501,992,.674,.154,.475,25.8,8.8,10.0,0.9,97.0,.171,1.2,22.0
2007,NBA,1,14,Al Thornton,Florida State,296,8274,3527,1233,353,.452,.293,.747,28.0,11.9,4.2,1.2,6.1,.035,-3.5,-3.2
2006,NBA,2,34,Paul Davis,Michigan State,82,702,217,158,32,.402,.000,.732,8.6,2.6,1.9,0.4,0.5,.035,-4.2,-0.4
2006,NBA,2,52,Guillermo Díaz,Miami (FL),6,18,5,2,1,.250,.000,.600,3.0,0.8,0.3,0.2,0.0,.033,-2.9,0.0
2005,NBA,1,12,Yaroslav Korolev,,34,168,39,16,13,.283,.250,.625,4.9,1.1,0.5,0.4,-0.1,-0.024,-5.2,-0.1
2005,NBA,2,32,Daniel Ewing,Duke,127,1683,431,158,174,.389,.295,.780,13.3,3.4,1.2,1.4,0.8,.024,-3.0,-0.4
2004,NBA,1,4,Shaun Livingston,,833,17188,5231,1989,2483,.486,.178,.794,20.6,6.3,2.4,3.0,29.9,.084,-1.0,4.3
2004,NBA,2,33,Lionel Chalmers,Xavier,36,433,111,31,51,.336,.245,.625,12.0,3.1,0.9,1.4,-0.2,-0.025,-5.3,-0.4
2003,NBA,1,6,Chris Kaman,Central Michigan University,735,19642,8208,5582,921,.489,.042,.743,26.7,11.2,7.6,1.3,24.6,.060,-1.9,0.4
2002,NBA,1,8,Chris Wilcox,Maryland,628,12474,5150,3076,455,.541,.000,.643,19.9,8.2,4.9,0.7,26.9,.103,-1.6,1.2
2002,NBA,1,12,Melvin Ely,Fresno State,375,6005,1992,1215,261,.460,.000,.625,16.0,5.3,3.2,0.7,4.0,.032,-4.0,-3.1
