Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2023,NBA,1,17,Jalen Hood-Schifino,Indiana,21,109,34,13,8,.222,.133,.600,5.2,1.6,0.6,0.4,-0.5,-0.222,-16.1,-0.4
2022,NBA,2,35,Max Christie,Michigan State,108,1456,412,217,81,.424,.378,.806,13.5,3.8,2.0,0.8,1.3,.043,-3.5,-0.5
2021,NBA,1,22,Isaiah Jackson (↳IND),Kentucky,158,2354,1135,669,111,.594,.206,.679,14.9,7.2,4.2,0.7,7.4,.151,-0.2,1.1
2020,NBA,1,28,Jaden McDaniels (↳OKC ↳MIN),Washington,284,7835,2784,1056,399,.484,.354,.729,27.6,9.8,3.7,1.4,11.6,.071,-2.4,-0.8
2019,NBA,1,4,De'Andre Hunter (↳NOP ↳ATL),Virginia,263,8080,3751,1078,405,.447,.363,.811,30.7,14.3,4.1,1.5,7.6,.045,-3.2,-2.5
2018,NBA,1,25,Moritz Wagner,Michigan,333,5487,2942,1288,397,.521,.320,.820,16.5,8.8,3.9,1.2,14.9,.130,-0.1,2.6
2018,NBA,2,47,Sviatoslav Mykhailiuk,Kansas,293,4626,1835,499,386,.404,.363,.760,15.8,6.3,1.7,1.3,4.2,.044,-2.4,-0.4
2017,NBA,1,2,Lonzo Ball,UCLA,252,8187,2995,1447,1563,.400,.364,.578,32.5,11.9,5.7,6.2,11.4,.067,1.1,6.3
2017,NBA,1,28,Tony Bradley (↳UTA),UNC,179,1994,792,729,90,.631,.500,.681,11.1,4.4,4.1,0.5,7.5,.181,0.2,1.1
2016,NBA,1,2,Brandon Ingram,Duke,477,15721,9256,2466,2037,.468,.362,.786,33.0,19.4,5.2,4.3,27.2,.083,0.1,8.4
2016,NBA,2,32,Ivica Zubac,,504,10810,4613,3732,580,.612,.083,.739,21.4,9.2,7.4,1.2,39.6,.176,0.3,6.4
2015,NBA,1,2,D'Angelo Russell,Ohio State,571,17265,10136,1954,3289,.430,.369,.792,30.2,17.8,3.4,5.8,24.6,.068,0.7,11.8
2015,NBA,1,27,Larry Nance,Wyoming,522,12124,4001,3238,979,.540,.342,.696,23.2,7.7,6.2,1.9,33.4,.132,1.2,9.9
2015,NBA,2,34,Anthony Brown,Stanford,41,762,161,103,28,.328,.286,.850,18.6,3.9,2.5,0.7,-0.2,-0.016,-5.1,-0.6
2014,NBA,1,7,Julius Randle,Kentucky,641,20512,12229,6004,2387,.470,.333,.748,32.0,19.1,9.4,3.7,43.3,.101,0.9,15.2
2013,NBA,2,48,Ryan Kelly,Duke,163,3125,981,504,215,.378,.316,.797,19.2,6.0,3.1,1.3,3.0,.046,-2.6,-0.5
2012,NBA,2,60,Robert Sacre,Gonzaga,189,2745,787,593,126,.436,.000,.671,14.5,4.2,3.1,0.7,2.4,.042,-4.0,-1.4
2011,NBA,2,41,Darius Morris,Michigan,132,1464,430,126,189,.384,.322,.630,11.1,3.3,1.0,1.4,-0.3,-0.010,-5.1,-1.2
2011,NBA,2,46,Andrew Goudelock,College of Charleston,49,475,197,34,24,.393,.345,.875,9.7,4.0,0.7,0.5,0.0,.003,-5.0,-0.3
2010,NBA,2,43,Devin Ebanks,West Virginia,63,711,224,122,24,.385,.222,.722,11.3,3.6,1.9,0.4,0.5,.035,-4.8,-0.5
2010,NBA,2,58,Derrick Caracter,Texas-El Paso,41,215,81,43,7,.485,,.739,5.2,2.0,1.0,0.2,0.3,.057,-7.1,-0.3
2009,NBA,1,29,Toney Douglas (↳NYK),Florida State,394,7511,3009,875,889,.404,.354,.824,19.1,7.6,2.2,2.3,12.1,.077,-0.8,2.2
