Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2023,NBA,2,58,Chris Livingston,Kentucky,21,90,26,21,5,.500,.200,.750,4.3,1.2,1.0,0.2,0.1,.027,-8.0,-0.1
2022,NBA,1,24,MarJon Beauchamp,,100,1309,477,214,66,.433,.355,.708,13.1,4.8,2.1,0.7,1.1,.040,-4.0,-0.7
2021,NBA,2,31,Isaiah Todd (↳IND ↳WAS),,18,135,29,24,8,.222,.192,.500,7.5,1.6,1.3,0.4,-0.3,-0.124,-10.2,-0.3
2020,NBA,1,24,R.J. Hampton (↳DEN),,170,3116,1155,466,307,.408,.338,.679,18.3,6.8,2.7,1.8,0.8,.013,-3.8,-1.4
2020,NBA,2,45,Jordan Nwora,Louisville,206,3359,1564,659,216,.433,.376,.807,16.3,7.6,3.2,1.0,3.0,.043,-2.8,-0.7
2019,NBA,1,30,Kevin Porter (↳DET ↳CLE),USC,196,5928,3008,842,987,.431,.357,.725,30.2,15.3,4.3,5.0,4.0,.032,-1.6,0.7
2018,NBA,1,17,Donte DiVincenzo,Villanova,354,9004,3746,1555,974,.428,.376,.771,25.4,10.6,4.4,2.8,20.0,.107,1.0,6.7
2017,NBA,1,17,D.J. Wilson,Michigan,148,1818,657,454,110,.422,.331,.618,12.3,4.4,3.1,0.7,2.9,.077,-2.4,-0.2
2017,NBA,2,48,Sindarius Thornwell (↳LAC),South Carolina,160,1721,401,206,111,.407,.340,.672,10.8,2.5,1.3,0.7,1.1,.032,-3.1,-0.5
2016,NBA,1,10,Thon Maker,,263,3624,1216,726,161,.435,.327,.680,13.8,4.6,2.8,0.6,6.6,.087,-2.1,-0.1
2016,NBA,2,36,Malcolm Brogdon,Virginia,439,12917,6772,1826,2058,.464,.391,.873,29.4,15.4,4.2,4.7,32.6,.121,1.4,11.1
2016,NBA,2,38,Patrick McCaw (↳GSW),UNLV,199,3373,760,319,270,.420,.305,.785,16.9,3.8,1.6,1.4,4.4,.062,-2.8,-0.6
2015,NBA,1,17,Rashad Vaughn,UNLV,139,1671,423,158,75,.337,.313,.692,12.0,3.0,1.1,0.5,-0.6,-0.017,-4.7,-1.2
2015,NBA,2,46,Norman Powell (↳TOR),UCLA,557,12980,6851,1458,816,.468,.394,.828,23.3,12.3,2.6,1.5,27.1,.100,-0.2,5.9
2014,NBA,1,2,Jabari Parker,Duke,310,8535,4380,1703,610,.494,.326,.743,27.5,14.1,5.5,2.0,13.8,.078,-0.8,2.5
2014,NBA,2,31,Damien Inglis,,20,156,36,31,10,.351,.231,.875,7.8,1.8,1.6,0.5,-0.1,-0.024,-5.6,-0.1
2014,NBA,2,36,Johnny O'Bryant,LSU,147,1684,509,352,69,.402,.360,.663,11.5,3.5,2.4,0.5,0.2,.006,-6.2,-1.8
2014,NBA,2,48,Lamar Patterson (↳ATL),Pitt,40,435,93,57,45,.326,.236,.720,10.9,2.3,1.4,1.1,0.1,.006,-5.7,-0.4
2013,NBA,1,15,Giannis Antetokounmpo,,792,25945,18502,7732,3855,.545,.286,.702,32.8,23.4,9.8,4.9,109.3,.202,6.5,55.8
2013,NBA,2,43,Ricky Ledo (↳DAL ↳PHI),Providence,28,277,109,38,21,.336,.371,.769,9.9,3.9,1.4,0.8,-0.6,-0.096,-7.6,-0.4
2012,NBA,1,14,John Henson,UNC,445,8752,3383,2368,496,.540,.250,.568,19.7,7.6,5.3,1.1,20.7,.113,-0.5,3.4
2012,NBA,2,42,Doron Lamb,Kentucky,100,1272,345,95,75,.381,.394,.700,12.7,3.5,1.0,0.8,0.1,.005,-5.8,-1.2
2011,NBA,1,10,Jimmer Fredette (↳SAC),BYU,241,3213,1438,243,331,.409,.372,.879,13.3,6.0,1.0,1.4,2.2,.033,-2.5,-0.4
2011,NBA,2,40,Jon Leuer,Wisconsin,377,5945,2395,1426,301,.484,.328,.767,15.8,6.4,3.8,0.8,13.2,.107,-0.7,2.0
2010,NBA,1,15,Larry Sanders,VCU,238,4635,1520,1345,174,.480,.000,.553,19.5,6.4,5.7,0.7,10.3,.107,-1.1,1.1
2010,NBA,2,37,Darington Hobson,New Mexico,5,39,4,3,6,.154,.000,,7.8,0.8,0.6,1.2,-0.2,-0.225,-13.0,-0.1
2010,NBA,2,44,Jerome Jordan,Tulsa,65,491,180,132,17,.528,,.852,7.6,2.8,2.0,0.3,1.7,.168,-1.0,0.1
2009,NBA,1,10,Brandon Jennings,,555,16844,7801,1659,3151,.387,.345,.796,30.3,14.1,3.0,5.7,29.9,.085,0.8,11.8
2009,NBA,2,41,Jodie Meeks,Kentucky,539,12110,4988,1120,583,.420,.373,.879,22.5,9.3,2.1,1.1,24.3,.096,-0.6,4.2
2008,NBA,1,8,Joe Alexander,West Virginia,67,745,282,120,44,.410,.340,.698,11.1,4.2,1.8,0.7,0.5,.030,-3.6,-0.3
2008,NBA,2,37,Luc Mbah a Moute,UCLA,689,16038,4380,2800,588,.454,.334,.659,23.3,6.4,4.1,0.9,26.0,.078,-1.5,2.0
2007,NBA,1,6,Yi Jianlian,,272,6038,2148,1339,192,.404,.333,.780,22.2,7.9,4.9,0.7,3.1,.025,-4.3,-3.5
2007,NBA,2,56,Ramon Sessions,Nevada,691,16119,7141,1840,2807,.434,.316,.791,23.3,10.3,2.7,4.1,28.8,.086,-0.7,5.2
2006,NBA,2,39,David Noel,UNC,68,792,184,123,65,.367,.321,.860,11.6,2.7,1.8,1.0,0.4,.024,-3.1,-0.2
2005,NBA,1,1,Andrew Bogut,Utah,706,19862,6808,6112,1546,.535,.120,.557,28.1,9.6,8.7,2.2,50.6,.122,1.2,16.0
2005,NBA,2,36,Ersan İlyasova,,825,18957,8364,4661,908,.443,.367,.777,23.0,10.1,5.6,1.1,48.8,.124,-0.1,9.0
2003,NBA,1,8,T.J. Ford,Texas,429,11882,4797,1331,2495,.433,.289,.815,27.7,11.2,3.1,5.8,16.9,.068,-0.4,4.6
2003,NBA,2,43,Keith Bogans (↳ORL),Kentucky,671,14527,4257,1817,866,.394,.353,.716,21.6,6.3,2.7,1.3,20.4,.068,-1.5,1.9
2002,NBA,1,13,Marcus Haislip,Tennessee,89,854,311,131,16,.437,.350,.659,9.6,3.5,1.5,0.2,0.5,.026,-4.7,-0.6
2002,NBA,2,34,Dan Gadzuric,UCLA,527,7793,2465,2326,196,.500,.000,.498,14.8,4.7,4.4,0.4,15.8,.097,-2.3,-0.7
2002,NBA,2,42,Ronald Murray,Shaw,487,11077,4817,1006,1096,.414,.304,.725,22.7,9.9,2.1,2.3,8.5,.037,-2.2,-0.5
2002,NBA,2,48,Chris Owens (↳MEM),Texas,1,6,4,1,0,.667,,,6.0,4.0,1.0,0.0,0.0,-0.032,-0.5,0.0
2000,NBA,1,15,Jason Collier (↳HOU),Georgia Tech,151,2178,841,443,51,.455,.350,.738,14.4,5.6,2.9,0.3,1.9,.042,-5.4,-1.9
2000,NBA,2,43,Michael Redd,Ohio State,629,20104,11972,2411,1338,.447,.380,.838,32.0,19.0,3.8,2.1,55.9,.134,2.2,21.4
2000,NBA,2,49,Jason Hart,Syracuse,341,5289,1623,567,774,.417,.315,.788,15.5,4.8,1.7,2.3,8.6,.078,-1.2,1.0
1998,NBA,1,9,Dirk Nowitzki (↳DAL),,1522,51368,31560,11489,3651,.471,.380,.879,33.8,20.7,7.5,2.4,206.3,.193,4.5,84.8
1998,NBA,1,19,Pat Garrity (↳PHO ↳DAL),Notre Dame,552,11062,4017,1457,443,.417,.398,.806,20.0,7.3,2.6,0.8,18.7,.081,-1.8,0.5
1998,NBA,2,39,Rafer Alston,Fresno State,671,19392,6799,1891,3202,.383,.354,.729,28.9,10.1,2.8,4.8,32.9,.081,0.0,9.6
1997,NBA,1,10,Danny Fortson (↳DEN),Cincinnati,440,8832,3615,3184,301,.472,.167,.785,20.1,8.2,7.2,0.7,22.3,.121,-3.2,-2.6
1997,NBA,2,39,Jerald Honeycutt,Tulane,54,632,275,105,36,.391,.362,.632,11.7,5.1,1.9,0.7,0.3,.020,-3.3,-0.2
1996,NBA,1,4,Stephon Marbury (↳MIN),Georgia Tech,846,31891,16297,2516,6471,.433,.325,.784,37.7,19.3,3.0,7.6,77.5,.117,1.8,30.7
1996,NBA,2,33,Moochie Norris,University of West Florida,445,7640,2272,868,1233,.401,.286,.740,17.2,5.1,2.0,2.8,10.0,.063,-1.4,1.2
1996,NBA,2,53,Jeff Nordgaard,Green Bay,13,48,18,14,3,.278,,.889,3.7,1.4,1.1,0.2,0.0,.043,-3.7,0.0
1995,NBA,1,11,Gary Trent (↳POR),Ohio University,506,9866,4366,2276,504,.501,.080,.643,19.5,8.6,4.5,1.0,23.2,.113,-1.0,2.4
1995,NBA,2,43,Eric Snow (↳SEA),Michigan State,846,23132,5791,2141,4245,.424,.208,.763,27.3,6.8,2.5,5.0,43.4,.090,-1.0,5.9
1994,NBA,1,1,Glenn Robinson,Purdue,688,25346,14234,4189,1879,.459,.340,.820,36.8,20.7,6.1,2.7,39.8,.075,0.1,13.5
1994,NBA,1,18,Eric Mobley,Pitt,113,1570,440,351,57,.541,.750,.475,13.9,3.9,3.1,0.5,1.1,.034,-4.3,-0.9
1994,NBA,2,46,Voshon Lenard,Minnesota,565,15349,6745,1609,1180,.415,.384,.787,27.2,11.9,2.8,2.1,29.6,.093,0.0,7.9
1993,NBA,1,8,Vin Baker,University of Hartford,791,25737,11839,5867,1509,.485,.215,.638,32.5,15.0,7.4,1.9,47.0,.088,-1.2,5.3
1992,NBA,1,8,Todd Day,Arkansas,483,12214,5917,1649,713,.406,.345,.739,25.3,12.3,3.4,1.5,17.5,.069,-0.9,3.4
1992,NBA,1,23,Lee Mayberry,Arkansas,496,10337,2546,642,1767,.415,.377,.659,20.8,5.1,1.3,3.6,7.9,.036,-2.9,-2.3
1991,NBA,1,18,Kevin Brooks (↳DEN),Louisiana,126,1031,417,141,48,.401,.200,.859,8.2,3.3,1.1,0.4,-0.1,-0.004,-5.9,-1.0
1991,NBA,2,45,Bobby Phills,Southern University and A&M College,467,13426,5153,1469,1246,.443,.390,.738,28.7,11.0,3.1,2.7,27.2,.097,0.2,7.5
1990,NBA,1,16,Terry Mills (↳DEN),Michigan,678,16422,7175,3680,891,.457,.384,.781,24.2,10.6,5.4,1.3,33.3,.097,-0.6,5.9
1990,NBA,2,44,Steve Henson,Kansas State,238,2282,739,176,465,.403,.432,.869,9.6,3.1,0.7,2.0,3.8,.079,-1.8,0.1
1989,NBA,2,30,Frank Kornet,Vanderbilt,89,595,171,95,30,.369,.263,.596,6.7,1.9,1.1,0.3,0.0,-0.004,-6.2,-0.6
