Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2023,NBA,2,40,Maxwell Lewis (↳LAL),Pepperdine,34,103,11,4,6,.190,.111,.667,3.0,0.3,0.1,0.2,-0.4,-0.195,-13.5,-0.3
2022,NBA,1,21,Christian Braun,Kansas,158,2836,960,487,191,.473,.373,.672,17.9,6.1,3.1,1.2,5.4,.091,-2.1,-0.1
2021,NBA,1,26,Bones Hyland,VCU,162,2935,1613,378,456,.398,.361,.844,18.1,10.0,2.3,2.8,3.8,.063,-1.1,0.6
2020,NBA,1,22,Zeke Nnaji,Arizona,194,2399,869,476,77,.512,.370,.662,12.4,4.5,2.5,0.4,5.4,.109,-2.9,-0.6
2018,NBA,1,14,Michael Porter,Missouri,268,7443,4199,1669,320,.499,.410,.807,27.8,15.7,6.2,1.2,20.1,.130,0.9,5.5
2018,NBA,2,58,Thomas Welsh,UCLA,11,36,18,4,5,.538,.429,.500,3.3,1.6,0.4,0.5,0.1,.162,1.2,0.0
2017,NBA,1,13,Donovan Mitchell (↳UTA),Louisville,468,16011,11619,2002,2176,.450,.366,.843,34.2,24.8,4.3,4.6,44.4,.133,3.4,22.0
2017,NBA,2,49,Vlatko Čančar,,130,1391,461,219,114,.479,.361,.847,10.7,3.5,1.7,0.9,2.5,.087,-2.1,0.0
2017,NBA,2,51,Monte Morris,Iowa State,375,9237,3747,922,1437,.477,.391,.824,24.6,10.0,2.5,3.8,23.9,.124,0.4,5.6
2016,NBA,1,7,Jamal Murray,Kentucky,469,14378,8187,1757,2106,.452,.380,.867,30.7,17.5,3.7,4.5,31.9,.106,0.9,10.7
2016,NBA,1,15,Juan Hernangómez,,339,5269,1711,1131,216,.428,.342,.676,15.5,5.0,3.3,0.6,8.7,.080,-1.9,0.1
2016,NBA,1,19,Malik Beasley,Florida State,496,11456,5402,1398,650,.425,.385,.800,23.1,10.9,2.8,1.3,15.4,.064,-1.3,2.1
2016,NBA,2,53,Petr Cornelie,,13,38,14,14,3,.333,.125,.750,2.9,1.1,1.1,0.2,0.0,-0.015,-8.8,-0.1
2016,NBA,2,56,Daniel Hamilton (↳OKC),UConn,25,232,69,52,30,.394,.357,.500,9.3,2.8,2.1,1.2,0.0,.000,-3.3,-0.1
2015,NBA,1,7,Emmanuel Mudiay,,302,7187,3299,884,1143,.401,.323,.744,23.8,10.9,2.9,3.8,-0.2,-0.001,-3.2,-2.2
2014,NBA,1,11,Doug McDermott (↳CHI),Creighton,655,13230,5851,1434,657,.471,.410,.806,20.2,8.9,2.2,1.0,21.1,.076,-2.1,-0.3
2014,NBA,2,41,Nikola Jokić,,675,21078,14139,7249,4667,.557,.350,.827,31.2,20.9,10.7,6.9,111.6,.254,9.9,63.4
2014,NBA,2,56,Devyn Marble (↳ORL),Iowa,44,457,97,69,29,.304,.222,.375,10.4,2.2,1.6,0.7,-0.3,-0.028,-5.5,-0.4
2013,NBA,1,27,Rudy Gobert (↳UTA),,757,23042,9592,8915,996,.655,.000,.639,30.4,12.7,11.8,1.3,106.0,.221,3.4,31.7
2012,NBA,1,20,Evan Fournier,,704,19514,9607,1878,1759,.441,.374,.799,27.7,13.6,2.7,2.5,30.5,.075,-1.1,4.3
2012,NBA,2,38,Quincy Miller,Baylor,69,934,295,169,37,.350,.292,.706,13.5,4.3,2.4,0.5,-0.1,-0.003,-3.9,-0.5
2011,NBA,1,22,Kenneth Faried,Morehead State University,478,11728,5430,3884,470,.546,.222,.654,24.5,11.4,8.1,1.0,38.8,.159,0.5,7.5
2006,NBA,2,49,Leon Powe (↳BOS),California,239,3320,1484,911,78,.515,.000,.682,13.9,6.2,3.8,0.3,12.0,.174,-1.6,0.3
2005,NBA,1,20,Julius Hodge,NC State,23,98,28,15,18,.440,,.500,4.3,1.2,0.7,0.8,0.0,.003,-3.7,0.0
2005,NBA,1,22,Jarrett Jack (↳POR),Georgia Tech,867,24140,9349,2487,3952,.440,.343,.855,27.8,10.8,2.9,4.6,36.8,.073,-0.9,6.5
