Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2023,NBA,1,12,Dereck Lively (↳DAL),Duke,55,1294,483,378,60,.747,.000,.506,23.5,8.8,6.9,1.1,4.9,.183,0.5,0.8
2023,NBA,2,37,Hunter Tyson (↳DEN),Clemson,18,48,20,9,2,.400,.286,,2.7,1.1,0.5,0.1,0.0,.007,-8.9,-0.1
2023,NBA,2,50,Keyontae Johnson,Kansas State,9,66,11,10,4,.313,.333,,7.3,1.2,1.1,0.4,-0.1,-0.068,-9.8,-0.1
2022,NBA,1,2,Chet Holmgren,Gonzaga,82,2413,1357,648,200,.530,.370,.793,29.4,16.5,7.9,2.4,8.9,.178,3.4,3.3
2022,NBA,1,12,Jalen Williams,Santa Clara,146,4499,2411,619,570,.532,.395,.813,30.8,16.5,4.2,3.9,12.9,.138,1.3,3.8
2022,NBA,1,30,Peyton Watson (↳DEN),UCLA,103,1674,607,295,97,.468,.307,.651,16.3,5.9,2.9,0.9,2.7,.079,-2.3,-0.1
2022,NBA,2,34,Jaylin Williams,Arkansas,118,1811,564,475,186,.426,.385,.747,15.3,4.8,4.0,1.6,4.3,.114,-0.3,0.8
2021,NBA,1,6,Josh Giddey,,210,6078,2920,1534,1200,.464,.310,.753,28.9,13.9,7.3,5.7,8.6,.068,0.7,4.1
2021,NBA,1,16,Alperen Şengün (↳HOU),,210,5706,3132,1660,788,.528,.284,.705,27.2,14.9,7.9,3.8,14.2,.120,2.0,5.8
2021,NBA,1,18,Tre Mann,Florida,168,3537,1524,475,376,.408,.345,.776,21.1,9.1,2.8,2.2,1.8,.024,-3.4,-1.2
2021,NBA,2,36,Miles McBride (↳NYK),West Virginia,172,2460,873,192,227,.404,.355,.760,14.3,5.1,1.1,1.3,4.6,.090,-1.4,0.4
2021,NBA,2,55,Aaron Wiggins,Maryland,198,3734,1437,574,234,.514,.394,.780,18.9,7.3,2.9,1.2,7.5,.097,-1.9,0.1
2020,NBA,1,25,Immanuel Quickley (↳NYK),Kentucky,291,7374,3978,980,1012,.421,.375,.857,25.3,13.7,3.4,3.5,18.9,.123,1.1,5.7
2020,NBA,2,53,Cassius Winston (↳WAS),Michigan State,29,137,55,10,19,.409,.435,.900,4.7,1.9,0.3,0.7,0.1,.051,-4.9,-0.1
2019,NBA,1,21,Brandon Clarke (↳MEM),Gonzaga,243,5185,2602,1357,343,.603,.286,.697,21.3,10.7,5.6,1.4,20.2,.187,2.8,6.2
2018,NBA,2,53,Devon Hall,Virginia,11,81,20,7,13,.200,.235,.500,7.4,1.8,0.6,1.2,-0.2,-0.116,-6.7,-0.1
2018,NBA,2,57,Kevin Hervey,UT Arlington,10,52,17,12,5,.259,.150,,5.2,1.7,1.2,0.5,-0.1,-0.085,-5.1,0.0
2017,NBA,1,21,Terrance Ferguson,,204,4000,924,263,144,.404,.334,.753,19.6,4.5,1.3,0.7,4.4,.053,-4.0,-2.1
2015,NBA,1,14,Cameron Payne,Murray State,405,7266,3203,847,1324,.422,.369,.825,17.9,7.9,2.1,3.3,11.7,.077,-0.6,2.5
2015,NBA,2,48,Dakari Johnson,Kentucky,31,161,55,34,8,.564,,.550,5.2,1.8,1.1,0.3,0.6,.178,-0.3,0.1
2014,NBA,1,21,Mitch McGary,Michigan,52,557,227,183,17,.527,.000,.580,10.7,4.4,3.5,0.3,1.3,.108,-2.6,-0.1
2014,NBA,1,29,Josh Huestis,Stanford,76,1068,187,180,23,.346,.312,.240,14.1,2.5,2.4,0.3,0.7,.030,-3.5,-0.4
2013,NBA,1,12,Steven Adams,Pitt,706,18944,6518,5788,1079,.587,.067,.536,26.8,9.2,8.2,1.5,59.3,.150,0.5,12.1
