Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2023,NBA,1,6,Anthony Black,Arkansas,69,1164,316,139,91,.466,.394,.613,16.9,4.6,2.0,1.3,1.6,.067,-3.0,-0.3
2023,NBA,1,11,Jett Howard,Michigan,18,67,29,7,6,.333,.280,.500,3.7,1.6,0.4,0.3,0.0,.005,-1.8,0.0
2023,NBA,2,36,Andre Jackson (↳MIL),UConn,57,572,125,113,50,.500,.370,.727,10.0,2.2,2.0,0.9,1.0,.081,-3.6,-0.2
2022,NBA,1,1,Paolo Banchero,Duke,152,5229,3241,1051,700,.442,.321,.731,34.4,21.3,6.9,4.6,7.6,.070,0.0,2.7
2022,NBA,2,32,Caleb Houstan,Michigan,110,1627,446,183,59,.376,.359,.818,14.8,4.1,1.7,0.5,2.2,.064,-3.0,-0.4
2021,NBA,1,5,Jalen Suggs,Gonzaga,176,4578,2031,561,569,.422,.333,.753,26.0,11.5,3.2,3.2,4.5,.047,-1.4,0.7
2021,NBA,1,8,Franz Wagner,Michigan,231,7375,4103,1066,783,.479,.332,.850,31.9,17.8,4.6,3.4,15.7,.103,0.1,3.9
2021,NBA,2,33,Jason Preston (↳LAC),Ohio University,21,195,53,39,43,.400,.238,.000,9.3,2.5,1.9,2.0,0.1,.023,-2.6,0.0
2020,NBA,1,15,Cole Anthony,UNC,253,6701,3385,1168,1032,.418,.343,.851,26.5,13.4,4.6,4.1,8.9,.064,-0.7,2.2
2019,NBA,1,16,Chuma Okeke,Auburn,189,3832,1189,704,276,.383,.318,.789,20.3,6.3,3.7,1.5,4.4,.055,-1.1,0.9
2019,NBA,2,46,Talen Horton-Tucker (↳LAL),Iowa State,247,5218,2430,700,769,.423,.293,.778,21.1,9.8,2.8,3.1,4.9,.045,-1.9,0.1
2018,NBA,1,6,Mohamed Bamba,Texas,332,5702,2323,1835,288,.478,.361,.681,17.2,7.0,5.5,0.9,14.6,.123,0.1,3.0
2018,NBA,2,35,Melvin Frazier,Tulane,32,290,87,28,5,.340,.209,.533,9.1,2.7,0.9,0.2,-0.4,-0.062,-10.0,-0.6
2018,NBA,2,41,Jarred Vanderbilt (↳DEN),Kentucky,273,5594,1661,1744,395,.568,.290,.645,20.5,6.1,6.4,1.4,15.4,.132,0.2,3.0
2017,NBA,1,6,Jonathan Isaac,Florida State,205,4550,1717,1045,182,.449,.341,.771,22.2,8.4,5.1,0.9,10.6,.112,1.0,3.5
2017,NBA,1,25,Anžejs Pasečņiks (↳PHI),,28,443,156,108,19,.521,.000,.586,15.8,5.6,3.9,0.7,0.4,.038,-6.2,-0.5
2017,NBA,2,33,Wesley Iwundu,Kansas State,226,3827,989,555,208,.408,.292,.798,16.9,4.4,2.5,0.9,4.2,.053,-3.9,-1.8
2017,NBA,2,35,Ivan Rabb (↳MEM),California,85,1237,485,364,86,.555,.200,.743,14.6,5.7,4.3,1.0,3.2,.125,-1.7,0.1
2016,NBA,1,11,Domantas Sabonis (↳OKC),Gonzaga,576,17470,9064,5908,2739,.556,.332,.726,30.3,15.7,10.3,4.8,59.8,.164,3.2,22.8
2016,NBA,2,41,Stephen Zimmerman,UNLV,19,108,23,35,4,.323,,.600,5.7,1.2,1.8,0.2,0.0,-0.005,-8.3,-0.2
2016,NBA,2,47,Jake Layman (↳POR),Maryland,243,3099,1175,417,127,.460,.300,.719,12.8,4.8,1.7,0.5,3.8,.059,-2.3,-0.2
2015,NBA,1,5,Mario Hezonja,,330,6107,2284,1026,415,.417,.319,.812,18.5,6.9,3.1,1.3,3.2,.025,-2.8,-1.2
2014,NBA,1,4,Aaron Gordon,Arizona,669,19629,9009,4227,1775,.481,.323,.683,29.3,13.5,6.3,2.7,42.6,.104,0.3,11.3
2014,NBA,1,12,Dario Šarić (↳PHI),,477,10869,5057,2576,917,.445,.362,.839,22.8,10.6,5.4,1.9,20.9,.092,-0.7,3.6
2013,NBA,1,2,Victor Oladipo,Indiana,504,16247,8503,2245,1970,.436,.347,.788,32.2,16.9,4.5,3.9,25.6,.076,0.7,11.0
2012,NBA,1,19,Andrew Nicholson,St. Bonaventure,285,4080,1700,857,126,.467,.321,.773,14.3,6.0,3.0,0.4,3.8,.045,-3.6,-1.6
2012,NBA,2,49,Kyle O'Quinn,Norfolk State,472,6714,2568,2166,643,.517,.218,.740,14.2,5.4,4.6,1.4,17.8,.128,0.9,5.0
