Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2023,NBA,1,3,Scoot Henderson,,62,1765,868,194,336,.385,.325,.819,28.5,14.0,3.1,5.4,-1.7,-0.045,-5.8,-1.7
2023,NBA,1,23,Kris Murray,Iowa,62,1348,376,224,80,.396,.268,.661,21.7,6.1,3.6,1.3,0.7,.024,-3.6,-0.6
2023,NBA,2,43,Rayan Rupert,,39,633,155,92,62,.335,.359,.760,16.2,4.0,2.4,1.6,-0.1,-0.009,-6.7,-0.8
2022,NBA,1,7,Shaedon Sharpe,Kentucky,112,2838,1299,396,188,.445,.350,.772,25.3,11.6,3.5,1.7,1.7,.028,-3.1,-0.8
2022,NBA,2,57,Jabari Walker,Colorado,128,2319,854,639,105,.448,.292,.755,18.1,6.7,5.0,0.8,3.1,.065,-4.1,-1.2
2020,NBA,1,16,Isaiah Stewart (↳HOU ↳DET),Washington,235,6108,2196,1778,284,.498,.348,.727,26.0,9.3,7.6,1.2,11.1,.087,-2.2,-0.4
2020,NBA,2,46,CJ Elleby,Washington State,88,1366,407,259,97,.390,.275,.717,15.5,4.6,2.9,1.1,0.5,.018,-5.2,-1.1
2019,NBA,1,25,Nassir Little,UNC,237,3735,1313,688,170,.452,.330,.735,15.8,5.5,2.9,0.7,4.7,.061,-2.6,-0.5
2018,NBA,1,24,Anfernee Simons,,319,8128,4489,784,928,.432,.386,.873,25.5,14.1,2.5,2.9,8.6,.051,-1.5,1.1
2017,NBA,1,15,Justin Jackson (↳SAC),UNC,280,4886,1676,654,285,.423,.319,.796,17.5,6.0,2.3,1.0,5.3,.052,-2.8,-1.0
2017,NBA,1,20,Harry Giles (↳SAC),Duke,165,1935,888,573,180,.508,.244,.661,11.7,5.4,3.5,1.1,3.1,.076,-2.5,-0.2
2017,NBA,1,26,Caleb Swanigan,Purdue,75,655,169,218,56,.438,.118,.614,8.7,2.3,2.9,0.7,-0.2,-0.015,-6.2,-0.7
2015,NBA,1,23,Rondae Hollis-Jefferson (↳BRK),Arizona,305,6759,2760,1684,579,.449,.212,.735,22.2,9.0,5.5,1.9,12.9,.091,-0.7,2.3
2013,NBA,1,10,CJ McCollum,Lehigh,731,23432,14231,2655,2778,.454,.399,.806,32.1,19.5,3.6,3.8,50.5,.103,1.4,20.3
2013,NBA,2,39,Jeff Withey (↳NOP),Kansas,206,2072,666,518,64,.525,.143,.716,10.1,3.2,2.5,0.3,6.8,.157,0.5,1.3
2013,NBA,2,40,Grant Jerrett (↳OKC),Arizona,8,51,16,9,3,.269,.067,1.000,6.4,2.0,1.1,0.4,-0.1,-0.128,-10.8,-0.1
2012,NBA,1,6,Damian Lillard,Weber State,842,30521,21151,3573,5659,.438,.371,.897,36.2,25.1,4.2,6.7,110.8,.174,4.7,51.3
2012,NBA,1,11,Meyers Leonard,Illinois,456,7272,2545,1771,396,.482,.390,.812,15.9,5.6,3.9,0.9,15.8,.104,-1.5,1.0
2012,NBA,2,40,Will Barton,Memphis,679,17116,7625,2792,1817,.430,.355,.787,25.2,11.2,4.1,2.7,26.5,.074,-0.4,6.9
2012,NBA,2,41,Tyshawn Taylor (↳NJN),Kansas,61,491,174,33,57,.354,.360,.684,8.0,2.9,0.5,0.9,-0.9,-0.088,-8.1,-0.8
2011,NBA,1,21,Nolan Smith,Duke,84,829,277,83,97,.371,.260,.714,9.9,3.3,1.0,1.2,-0.8,-0.047,-6.0,-0.8
2010,NBA,1,22,Elliot Williams,Memphis,109,1470,537,161,94,.421,.310,.669,13.5,4.9,1.5,0.9,0.7,.024,-4.9,-1.1
2010,NBA,2,34,Armon Johnson,Nevada,47,401,157,49,56,.458,.400,.679,8.5,3.3,1.0,1.2,-0.1,-0.015,-4.1,-0.2
2009,NBA,1,22,Victor Claver,,80,1072,258,178,56,.398,.293,.585,13.4,3.2,2.2,0.7,0.2,.011,-3.6,-0.4
2009,NBA,2,33,Dante Cunningham,Villanova,715,14875,4133,2676,506,.469,.345,.649,20.8,5.8,3.7,0.7,24.9,.080,-1.7,1.1
2009,NBA,2,38,Jon Brockman (↳SAC),Washington,150,1570,320,472,49,.488,.000,.618,10.5,2.1,3.1,0.3,3.7,.113,-3.9,-0.8
2009,NBA,2,55,Patty Mills,Saint Mary's,892,17995,7893,1469,1984,.424,.386,.856,20.2,8.8,1.6,2.2,35.8,.096,-0.1,8.6
2008,NBA,1,13,Brandon Rush (↳IND),Kansas,481,10564,3250,1413,468,.426,.402,.706,22.0,6.8,2.9,1.0,11.2,.051,-1.4,1.6
2008,NBA,2,33,Joey Dorsey (↳HOU),Memphis,130,1488,344,513,55,.534,.000,.375,11.4,2.6,3.9,0.4,2.9,.092,-2.7,-0.3
2008,NBA,2,36,Ömer Asik (↳CHI),,471,9216,2479,3362,280,.528,.000,.551,19.6,5.3,7.1,0.6,20.9,.109,-1.9,0.1
2008,NBA,2,55,Mike Taylor (↳LAC),Iowa State,51,771,289,87,106,.412,.325,.691,15.1,5.7,1.7,2.1,-0.4,-0.028,-5.2,-0.6
2007,NBA,1,1,Greg Oden,Ohio State,105,2028,840,656,51,.574,,.658,19.3,8.0,6.2,0.5,7.3,.174,-0.4,0.8
