Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2023,NBA,1,14,Jordan Hawkins,UConn,67,1160,524,148,70,.382,.366,.838,17.3,7.8,2.2,1.0,1.3,.053,-3.1,-0.3
2022,NBA,1,8,Dyson Daniels,,120,2400,581,424,298,.435,.312,.645,20.0,4.8,3.5,2.5,4.2,.085,-0.5,0.9
2022,NBA,2,41,E.J. Liddell,Ohio State,8,23,4,5,1,.167,.000,1.000,2.9,0.5,0.6,0.1,0.0,-0.091,-4.7,0.0
2021,NBA,1,10,Ziaire Williams (↳MEM),Stanford,150,2945,1131,388,175,.426,.301,.803,19.6,7.5,2.6,1.2,2.6,.042,-4.0,-1.5
2021,NBA,2,35,Herb Jones,Alabama,220,6607,2228,837,528,.482,.373,.824,30.0,10.1,3.8,2.4,15.2,.110,0.0,3.3
2021,NBA,2,40,Jared Butler (↳UTA ↳MEM),Baylor,88,1003,449,107,197,.453,.328,.808,11.4,5.1,1.2,2.2,1.2,.056,-1.9,0.0
2021,NBA,2,43,Greg Brown (↳POR),Texas,70,773,268,163,42,.424,.296,.616,11.0,3.8,2.3,0.6,0.2,.015,-5.1,-0.6
2020,NBA,1,13,Kira Lewis,Alabama,131,1745,687,169,233,.397,.294,.848,13.3,5.2,1.3,1.8,1.3,.036,-3.5,-0.6
2020,NBA,2,39,Elijah Hughes (↳UTA),Syracuse,54,498,157,67,28,.328,.280,.769,9.2,2.9,1.2,0.5,-0.4,-0.039,-6.4,-0.5
2020,NBA,2,42,Nick Richards (↳CHO),Kentucky,200,3406,1349,1052,107,.661,.333,.736,17.0,6.7,5.3,0.5,10.3,.145,-2.1,-0.1
2020,NBA,2,60,Sam Merrill (↳MIL),Utah State University,102,1419,624,166,138,.405,.398,.895,13.9,6.1,1.6,1.4,3.5,.119,0.0,0.7
2019,NBA,1,1,Zion Williamson,Duke,184,5857,4542,1199,761,.592,.341,.695,31.8,24.7,6.5,4.1,21.7,.178,4.6,9.8
2019,NBA,2,39,Alen Smailagić (↳GSW),,29,223,87,43,17,.463,.304,.720,7.7,3.0,1.5,0.6,0.3,.056,-3.3,-0.1
2019,NBA,2,57,Jordan Bone (↳ATL ↳PHI ↳DET),Tennessee,24,249,68,28,26,.378,.286,,10.4,2.8,1.2,1.1,0.1,.010,-5.9,-0.2
2017,NBA,2,40,Dwayne Bacon (↳CHO),Florida State,207,4012,1503,537,230,.402,.314,.780,19.4,7.3,2.6,1.1,0.8,.010,-5.1,-3.1
2017,NBA,2,52,Edmond Sumner (↳IND),Xavier,161,2256,997,244,182,.470,.341,.811,14.0,6.2,1.5,1.1,3.2,.069,-3.0,-0.6
2016,NBA,1,6,Buddy Hield,Oklahoma,632,18317,9820,2672,1641,.434,.400,.860,29.0,15.5,4.2,2.6,24.9,.065,0.4,11.0
2016,NBA,2,40,Diamond Stone (↳LAC),Maryland,7,24,10,6,0,.231,,1.000,3.4,1.4,0.9,0.0,-0.1,-0.211,-20.8,-0.1
2015,NBA,2,56,Branden Dawson (↳LAC),Michigan State,6,29,5,4,0,.400,,1.000,4.8,0.8,0.7,0.0,0.0,.069,-5.7,0.0
2013,NBA,1,6,Nerlens Noel (↳PHI),Kentucky,467,10281,3338,2835,501,.546,.200,.655,22.0,7.1,6.1,1.1,28.3,.132,0.9,7.4
2012,NBA,1,1,Anthony Davis,Kentucky,736,25409,17717,7826,1828,.523,.297,.795,34.5,24.1,10.6,2.5,112.1,.212,6.0,50.9
2012,NBA,1,10,Austin Rivers,Duke,707,16858,5996,1442,1513,.419,.349,.653,23.8,8.5,2.0,2.1,15.2,.043,-3.1,-4.5
2012,NBA,2,46,Darius Miller,Kentucky,271,5358,1597,447,367,.419,.383,.840,19.8,5.9,1.6,1.4,6.5,.059,-2.3,-0.4
2011,NBA,2,45,Josh Harrellson (↳NYK),Kentucky,75,888,265,227,26,.438,.347,.629,11.8,3.5,3.0,0.3,2.1,.116,-0.4,0.4
2010,NBA,1,11,Cole Aldrich (↳OKC),Kansas,339,3389,1050,1131,183,.527,,.738,10.0,3.1,3.3,0.5,9.6,.135,0.1,1.8
2009,NBA,1,21,Darren Collison,UCLA,711,20833,8861,1889,3545,.471,.394,.853,29.3,12.5,2.7,5.0,49.9,.115,0.5,13.4
2008,NBA,1,27,Darrell Arthur (↳MEM),Kansas,503,8945,3282,1768,409,.444,.352,.765,17.8,6.5,3.5,0.8,12.3,.066,-2.2,-0.4
2007,NBA,1,13,Julian Wright,Kansas,231,3049,907,531,182,.499,.262,.584,13.2,3.9,2.3,0.8,3.9,.061,-0.5,1.2
2006,NBA,1,12,Hilton Armstrong,UConn,292,3378,880,766,102,.501,.286,.582,11.6,3.0,2.6,0.3,3.9,.055,-4.1,-1.8
2006,NBA,1,15,Cedric Simmons,NC State,75,705,163,141,14,.409,,.390,9.4,2.2,1.9,0.2,0.1,.005,-5.0,-0.5
2006,NBA,2,43,Marcus Vinicius,,26,172,50,19,7,.457,.421,.556,6.6,1.9,0.7,0.3,0.2,.056,-3.0,0.0
2005,NBA,1,4,Chris Paul,Wake Forest,1272,43316,22288,5682,11894,.471,.369,.870,34.1,17.5,4.5,9.4,209.4,.232,6.9,97.3
2005,NBA,2,33,Brandon Bass,LSU,758,16410,6575,3448,608,.499,.207,.832,21.6,8.7,4.5,0.8,42.8,.125,-0.8,5.1
2004,NBA,1,18,J.R. Smith,,977,26275,12148,3073,2077,.419,.373,.733,26.9,12.4,3.1,2.1,46.3,.084,0.2,14.7
2003,NBA,1,18,David West,Xavier,1034,29144,14034,6590,2273,.495,.265,.817,28.2,13.6,6.4,2.2,85.9,.141,1.7,27.6
