Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2023,NBA,1,5,Ausar Thompson,,63,1583,556,402,120,.483,.186,.597,25.1,8.8,6.4,1.9,1.8,.053,-2.2,-0.1
2022,NBA,1,5,Jaden Ivey,Purdue,151,4521,2389,552,683,.422,.339,.748,29.9,15.8,3.7,4.5,0.4,.004,-3.2,-1.4
2021,NBA,1,1,Cade Cunningham,Oklahoma State,138,4562,2758,696,892,.432,.329,.858,33.1,20.0,5.0,6.5,1.1,.012,-0.6,1.6
2021,NBA,2,37,JT Thor (↳CHO),Auburn,165,2012,528,341,84,.418,.320,.644,12.2,3.2,2.1,0.5,1.0,.025,-4.4,-1.2
2021,NBA,2,42,Isaiah Livers,Michigan,94,2051,581,248,87,.407,.358,.789,21.8,6.2,2.6,0.9,1.6,.037,-3.2,-0.6
2021,NBA,2,52,Luka Garza,Iowa,85,754,466,194,42,.488,.325,.703,8.9,5.5,2.3,0.5,2.2,.143,-1.8,0.0
2020,NBA,1,7,Killian Hayes,,210,5479,1704,619,1090,.382,.277,.775,26.1,8.1,2.9,5.2,-0.5,-0.004,-3.9,-2.7
2019,NBA,1,15,Sekou Doumbouya,,96,1639,542,267,66,.388,.256,.693,17.1,5.6,2.8,0.7,-0.4,-0.013,-6.5,-1.8
2019,NBA,2,45,Isaiah Roby (↳DAL),Nebraska,151,2858,1159,667,216,.485,.351,.675,18.9,7.7,4.4,1.4,4.0,.068,-2.3,-0.2
2018,NBA,2,42,Bruce Brown,Miami (FL),416,10454,3705,1765,1033,.481,.337,.764,25.1,8.9,4.2,2.5,19.3,.088,-1.3,1.9
2017,NBA,1,12,Luke Kennard,Duke,395,9287,3941,1118,830,.454,.439,.879,23.5,10.0,2.8,2.1,19.7,.102,-0.2,4.3
2016,NBA,1,18,Henry Ellenson,Marquette,83,787,342,206,49,.371,.336,.773,9.5,4.1,2.5,0.6,0.4,.023,-3.7,-0.3
2016,NBA,2,49,Michael Gbinije,Syracuse,9,32,4,3,2,.100,.000,1.000,3.6,0.4,0.3,0.2,-0.1,-0.136,-12.1,-0.1
2015,NBA,1,8,Stanley Johnson,Arizona,449,8879,2806,1404,679,.391,.305,.748,19.8,6.2,3.1,1.5,6.9,.037,-2.7,-1.6
2015,NBA,2,38,Darrun Hilliard,Villanova,91,859,295,85,71,.377,.304,.747,9.4,3.2,0.9,0.8,0.3,.016,-4.7,-0.6
2014,NBA,2,38,Spencer Dinwiddie,Colorado,542,15083,7206,1642,2804,.414,.333,.796,27.8,13.3,3.0,5.2,32.4,.103,0.1,7.9
2013,NBA,1,8,Kentavious Caldwell-Pope,Georgia,835,24757,9499,2539,1516,.427,.369,.819,29.6,11.4,3.0,1.8,43.9,.085,-0.9,7.0
2013,NBA,2,37,Tony Mitchell,University of North Texas,21,79,22,26,2,.417,1.000,.579,3.8,1.0,1.2,0.1,0.2,.151,0.4,0.0
2013,NBA,2,56,Peyton Siva,Louisville,24,224,54,14,34,.316,.280,.733,9.3,2.3,0.6,1.4,-0.2,-0.032,-6.4,-0.2
2012,NBA,1,9,Andre Drummond,UConn,864,23469,11000,10671,1073,.543,.125,.482,27.2,12.7,12.4,1.2,75.4,.154,1.2,18.7
2012,NBA,2,39,Khris Middleton,Texas A&M,739,22980,12461,3563,2916,.460,.388,.879,31.1,16.9,4.8,3.9,55.9,.117,0.8,16.0
2012,NBA,2,44,Kim English,Missouri,41,407,119,37,26,.375,.280,.724,9.9,2.9,0.9,0.6,0.2,.021,-4.2,-0.2
2011,NBA,1,8,Brandon Knight,Kentucky,451,13202,6301,1385,1777,.411,.352,.807,29.3,14.0,3.1,3.9,11.6,.042,-1.6,1.4
2011,NBA,2,33,Kyle Singler,Duke,356,7794,2326,1026,272,.418,.362,.786,21.9,6.5,2.9,0.8,10.0,.062,-2.5,-0.9
2011,NBA,2,52,Vernon Macklin,Florida,23,135,46,34,5,.543,,.571,5.9,2.0,1.5,0.2,0.5,.161,1.2,0.1
2010,NBA,1,7,Greg Monroe,Georgetown,646,17670,8402,5293,1376,.514,.059,.703,27.4,13.0,8.2,2.1,50.4,.137,1.4,15.3
2009,NBA,1,15,Austin Daye,Gonzaga,293,4132,1522,764,212,.402,.351,.778,14.1,5.2,2.6,0.7,4.5,.053,-2.0,0.0
2009,NBA,2,35,DaJuan Summers,Georgetown,83,820,278,82,29,.384,.367,.642,9.9,3.3,1.0,0.3,-0.1,-0.008,-5.8,-0.8
2009,NBA,2,39,Jonas Jerebko,,635,11323,3919,2522,525,.457,.363,.770,17.8,6.2,4.0,0.8,25.8,.109,-1.0,2.9
2009,NBA,2,44,Chase Budinger (↳HOU),Arizona,407,7998,3198,1240,473,.430,.352,.797,19.7,7.9,3.0,1.2,13.9,.083,-0.5,2.9
2008,NBA,1,29,D.J. White (↳SEA),Indiana,138,2111,810,437,80,.507,.333,.720,15.3,5.9,3.2,0.6,3.8,.087,-2.1,0.0
2007,NBA,1,15,Rodney Stuckey,Eastern Washington,651,17890,8185,1912,2333,.423,.300,.824,27.5,12.6,2.9,3.6,28.7,.077,-0.9,4.9
