Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2023,NBA,1,1,Victor Wembanyama,,71,2106,1522,755,274,.465,.325,.796,29.7,21.4,10.6,3.9,3.7,.085,5.2,3.8
2023,NBA,2,33,Leonard Miller (↳MIN),,17,52,29,20,8,.650,.400,.500,3.1,1.7,1.2,0.5,0.3,.323,9.6,0.2
2023,NBA,2,44,Sidy Cissoko,,12,141,45,22,10,.485,.083,.800,11.8,3.8,1.8,0.8,0.3,.110,-2.7,0.0
2022,NBA,1,9,Jeremy Sochan,Baylor,130,3651,1475,771,391,.444,.285,.738,28.1,11.3,5.9,3.0,1.5,.020,-3.6,-1.5
2022,NBA,1,20,Malaki Branham,Ohio State,141,3144,1363,329,283,.436,.325,.850,22.3,9.7,2.3,2.0,-0.4,-0.006,-5.4,-2.7
2022,NBA,1,25,Blake Wesley,Notre Dame,98,1545,452,175,265,.398,.299,.639,15.8,4.6,1.8,2.7,-0.7,-0.021,-6.4,-1.7
2022,NBA,2,38,Kennedy Chandler (↳MEM),Tennessee,36,281,78,38,58,.422,.133,.462,7.8,2.2,1.1,1.6,0.3,.044,-2.7,0.0
2021,NBA,1,12,Joshua Primo,Alabama,56,1068,318,127,99,.371,.300,.750,19.1,5.7,2.3,1.8,-0.3,-0.011,-5.3,-0.9
2021,NBA,2,41,Joe Wieskamp,Iowa,38,255,70,18,12,.329,.309,.538,6.7,1.8,0.5,0.3,0.1,.013,-5.3,-0.2
2020,NBA,1,11,Devin Vassell,Florida State,239,6419,3239,889,605,.444,.369,.809,26.9,13.6,3.7,2.5,9.7,.072,-0.3,2.7
2020,NBA,2,41,Tre Jones,Duke,251,5539,2153,710,1198,.481,.301,.843,22.1,8.6,2.8,4.8,11.6,.101,-0.8,1.7
2019,NBA,1,19,Luka Šamanić,,86,921,384,210,55,.411,.247,.706,10.7,4.5,2.4,0.6,0.0,.001,-5.6,-0.8
2019,NBA,1,29,Keldon Johnson,Kentucky,293,8762,4782,1621,672,.465,.358,.760,29.9,16.3,5.5,2.3,13.5,.074,-1.3,1.6
2019,NBA,2,49,Quinndary Weatherspoon,Mississippi State,42,272,88,32,24,.452,.188,.826,6.5,2.1,0.8,0.6,0.2,.030,-5.5,-0.2
2018,NBA,1,18,Lonnie Walker,Miami (FL),322,6548,3171,728,468,.422,.356,.795,20.3,9.8,2.3,1.5,4.6,.033,-2.5,-0.9
2018,NBA,2,49,Chimezie Metu,USC,260,3565,1522,908,197,.495,.298,.787,13.7,5.9,3.5,0.8,5.7,.076,-1.6,0.3
2017,NBA,1,29,Derrick White,Colorado,418,11507,5151,1467,1704,.450,.363,.854,27.5,12.3,3.5,4.1,31.2,.130,1.9,11.4
2017,NBA,2,59,Jaron Blossomgame,Clemson,27,439,114,98,13,.443,.256,.769,16.3,4.2,3.6,0.5,0.3,.030,-3.8,-0.2
2016,NBA,1,29,Dejounte Murray,Washington,472,13733,7261,2725,2490,.458,.345,.787,29.1,15.4,5.8,5.3,26.0,.091,1.6,12.5
2014,NBA,1,30,Kyle Anderson,UCLA,653,14322,4519,2861,1833,.479,.338,.714,21.9,6.9,4.4,2.8,36.6,.123,1.8,13.6
2014,NBA,2,58,Jordan McRae (↳PHI),Tennessee,123,1696,846,225,167,.417,.355,.772,13.8,6.9,1.8,1.4,1.7,.048,-2.1,0.0
2014,NBA,2,60,Cory Jefferson (↳BRK),Baylor,58,581,205,161,16,.444,.125,.583,10.0,3.5,2.8,0.3,0.9,.071,-3.3,-0.2
2011,NBA,1,29,Cory Joseph,Texas,816,17684,5651,2020,2445,.441,.349,.786,21.7,6.9,2.5,3.0,30.7,.083,-1.1,3.8
2010,NBA,1,20,James Anderson,Oklahoma State,247,4320,1422,560,291,.411,.321,.755,17.5,5.8,2.3,1.2,3.3,.037,-2.7,-0.8
2009,NBA,2,37,DeJuan Blair,Pitt,424,7054,2865,2153,349,.524,.000,.608,16.6,6.8,5.1,0.8,19.0,.129,-1.2,1.4
2009,NBA,2,53,Nando De Colo,,119,1414,453,211,203,.429,.363,.835,11.9,3.8,1.8,1.7,2.4,.081,-0.7,0.5
2008,NBA,1,26,George Hill,IUPUI,915,24501,9545,2731,2807,.457,.380,.806,26.8,10.4,3.0,3.1,71.0,.139,1.1,19.4
2008,NBA,2,45,Goran Dragić (↳PHO),,946,25603,12568,2816,4405,.459,.362,.766,27.1,13.3,3.0,4.7,56.7,.106,0.5,15.9
2007,NBA,1,28,Tiago Splitter,,355,6812,2816,1779,423,.555,.143,.697,19.2,7.9,5.0,1.2,25.3,.178,1.1,5.4
2007,NBA,2,33,Marcus Williams,Arizona,13,39,14,12,3,.318,,,3.0,1.1,0.9,0.2,-0.1,-0.084,-5.4,0.0
2006,NBA,2,59,Damir Markota (↳MIL),,30,170,51,31,6,.365,.375,.636,5.7,1.7,1.0,0.2,-0.2,-0.070,-8.5,-0.3
2005,NBA,1,28,Ian Mahinmi,,618,10353,3209,2705,357,.533,.160,.612,16.8,5.2,4.4,0.6,26.1,.121,-2.0,0.1
2004,NBA,1,28,Beno Udrih,,831,18185,6952,1712,2858,.463,.349,.833,21.9,8.4,2.1,3.4,31.4,.083,-0.9,4.9
2003,NBA,1,28,Leandro Barbosa (↳PHO),,850,18386,9035,1720,1775,.459,.387,.821,21.6,10.6,2.0,2.1,37.4,.098,-0.2,8.6
2002,NBA,1,26,John Salmons (↳PHI),Miami (FL),895,23672,8292,2603,2183,.431,.366,.799,26.4,9.3,2.9,2.4,33.9,.069,-0.9,6.7
2002,NBA,2,56,Luis Scola,,743,19001,8882,4941,1194,.493,.339,.740,25.6,12.0,6.7,1.6,45.7,.115,-0.7,6.4
2002,NBA,2,57,Randy Holcomb (↳PHI),San Diego State,4,11,2,1,0,1.000,,,2.8,0.5,0.3,0.0,0.0,.150,-1.7,0.0
2001,NBA,1,28,Tony Parker,,1254,38279,19473,3396,7036,.491,.324,.751,30.5,15.5,2.7,5.6,111.3,.140,1.1,30.1
1999,NBA,1,29,Leon Smith (↳DAL),,15,104,33,33,3,.393,,.647,6.9,2.2,2.2,0.2,0.2,.112,-2.9,0.0
1999,NBA,2,57,Manu Ginóbili,,1057,26859,14043,3697,4001,.447,.369,.827,25.4,13.3,3.5,3.8,106.4,.190,5.0,47.6
1998,NBA,1,24,Felipe López (↳VAN),St. John's,249,4145,1448,604,252,.432,.327,.659,16.6,5.8,2.4,1.0,3.1,.036,-2.5,-0.5
1998,NBA,2,52,Derrick Dial,Eastern Michigan,82,687,253,133,63,.372,.190,.672,8.4,3.1,1.6,0.8,0.6,.045,-2.2,0.0
1997,NBA,1,1,Tim Duncan,Wake Forest,1392,47368,26496,15091,4225,.506,.179,.696,34.0,19.0,10.8,3.0,206.4,.209,5.6,91.1
1995,NBA,1,29,Cory Alexander,Virginia,307,4847,1677,481,834,.389,.354,.756,15.8,5.5,1.6,2.7,3.0,.030,-1.7,0.4
1994,NBA,1,22,Bill Curley (↳DET),Boston College,147,1614,394,290,60,.444,.222,.743,11.0,2.7,2.0,0.4,1.6,.047,-5.3,-1.3
1993,NBA,2,47,Chris Whitney,Clemson,579,10052,3738,815,1613,.395,.361,.875,17.4,6.5,1.4,2.8,21.2,.101,-0.2,4.6
1992,NBA,1,18,Tracy Murray (↳POR ↳MIL),UCLA,659,12103,5943,1649,508,.430,.388,.829,18.4,9.0,2.5,0.8,24.1,.096,-0.1,5.8
1991,NBA,2,49,Greg Sutton,Oral Roberts,168,1946,761,153,284,.396,.361,.743,11.6,4.5,0.9,1.7,1.0,.024,-3.6,-0.8
1990,NBA,1,24,Dwayne Schintzius,Florida,217,1950,587,536,93,.404,.125,.638,9.0,2.7,2.5,0.4,1.0,.024,-5.0,-1.5
1990,NBA,2,43,Tony Massenburg,Maryland,683,12291,4238,2964,266,.470,.091,.705,18.0,6.2,4.3,0.4,15.6,.061,-4.5,-7.8
1990,NBA,2,54,Sean Higgins,Michigan,220,3334,1375,402,226,.428,.321,.850,15.2,6.3,1.8,1.0,0.4,.006,-4.7,-2.3
1989,NBA,1,3,Sean Elliott,Arizona,742,24502,10544,3204,1897,.465,.375,.799,33.0,14.2,4.3,2.6,55.7,.109,0.2,13.5
