Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2023,NBA,1,13,Gradey Dick,Kansas,60,1268,510,132,68,.425,.365,.863,21.1,8.5,2.2,1.1,0.3,.010,-5.4,-1.1
2022,NBA,2,33,Christian Koloko,Arizona,58,802,182,171,31,.480,.083,.627,13.8,3.1,2.9,0.5,1.7,.104,-3.5,-0.3
2021,NBA,1,4,Scottie Barnes,Florida State,211,7389,3504,1563,990,.474,.311,.764,35.0,16.6,7.4,4.7,15.9,.103,1.5,6.5
2021,NBA,2,46,Dalano Banton,Nebraska,149,2022,904,347,262,.409,.289,.729,13.6,6.1,2.3,1.8,1.3,.031,-1.8,0.1
2021,NBA,2,47,David Johnson,Louisville,2,2,0,0,0,.000,.000,,1.0,0.0,0.0,0.0,0.0,-0.495,-27.7,0.0
2020,NBA,1,29,Malachi Flynn,San Diego State,213,3032,1168,369,407,.387,.334,.745,14.2,5.5,1.7,1.9,2.8,.045,-2.6,-0.5
2020,NBA,2,59,Jalen Harris,Nevada,13,172,96,18,17,.500,.472,.778,13.2,7.4,1.4,1.3,0.3,.079,0.3,0.1
2019,NBA,2,59,Dewan Hernandez,Miami (FL),6,28,14,14,3,.357,.500,.600,4.7,2.3,2.3,0.5,0.0,.043,-9.6,-0.1
2017,NBA,1,23,OG Anunoby,Indiana,418,12148,5001,1786,667,.474,.376,.745,29.1,12.0,4.3,1.6,24.8,.098,0.1,6.4
2016,NBA,1,9,Jakob Pöltl,Utah,538,11634,4487,3606,925,.631,.500,.538,21.6,8.3,6.7,1.7,38.7,.159,1.1,9.2
2016,NBA,1,27,Pascal Siakam,New Mexico State,551,17089,9747,3643,1998,.496,.330,.766,31.0,17.7,6.6,3.6,47.9,.135,2.0,17.2
2015,NBA,1,20,Delon Wright,Utah,508,10540,3531,1584,1559,.451,.354,.806,20.7,7.0,3.1,3.1,28.2,.128,2.2,11.0
2014,NBA,1,20,Bruno Caboclo,,105,1293,442,268,72,.403,.308,.836,12.3,4.2,2.6,0.7,1.5,.054,-2.7,-0.2
2012,NBA,1,8,Terrence Ross,Washington,733,17956,8047,2061,936,.418,.362,.837,24.5,11.0,2.8,1.3,25.0,.067,-1.0,4.5
2012,NBA,2,37,Quincy Acy,Baylor,337,5392,1642,1179,217,.444,.350,.759,16.0,4.9,3.5,0.6,8.7,.078,-2.0,-0.1
2011,NBA,1,5,Jonas Valančiūnas,,856,22034,11436,8096,1137,.561,.348,.789,25.7,13.4,9.5,1.3,80.3,.175,1.0,16.7
2010,NBA,1,13,Ed Davis,UNC,722,13756,4291,4616,539,.567,.000,.583,19.1,5.9,6.4,0.7,43.3,.151,-0.2,6.2
2009,NBA,1,9,DeMar DeRozan,USC,1110,38460,23582,4910,4527,.469,.296,.841,34.6,21.2,4.4,4.1,101.4,.127,0.9,28.1
2008,NBA,1,17,Roy Hibbert (↳IND),Georgetown,662,16389,6611,4173,885,.465,.250,.755,24.8,10.0,6.3,1.3,35.9,.105,-1.1,3.5
2006,NBA,1,1,Andrea Bargnani,,550,15806,7873,2541,653,.439,.354,.824,28.7,14.3,4.6,1.2,18.9,.057,-1.6,1.5
2006,NBA,2,35,P.J. Tucker,Texas,883,24935,5854,4770,1225,.425,.366,.750,28.2,6.6,5.4,1.4,43.2,.083,-1.0,6.5
2005,NBA,1,7,Charlie Villanueva,UConn,656,13578,6808,3019,549,.435,.341,.772,20.7,10.4,4.6,0.8,22.6,.080,-0.6,4.7
2005,NBA,1,16,Joey Graham,Oklahoma State,377,6117,2239,1058,207,.483,.300,.815,16.2,5.9,2.8,0.5,7.8,.061,-3.6,-2.4
2005,NBA,2,41,Roko Ukić,,85,987,341,78,165,.387,.189,.746,11.6,4.0,0.9,1.9,-0.2,-0.007,-4.3,-0.6
2005,NBA,2,58,Uroš Slokar,,20,72,38,14,1,.538,.500,.692,3.6,1.9,0.7,0.1,0.1,.042,-5.6,-0.1
2004,NBA,1,8,Rafael Araújo,BYU,139,1585,389,395,41,.405,.250,.679,11.4,2.8,2.8,0.3,-0.4,-0.013,-7.2,-2.1
2003,NBA,1,4,Chris Bosh,Georgia Tech,893,31936,17189,7592,1795,.494,.335,.799,35.8,19.2,8.5,2.0,106.0,.159,1.9,31.1
2002,NBA,1,20,Kareem Rush (↳LAL),Missouri,346,5956,2213,572,353,.400,.358,.703,17.2,6.4,1.7,1.0,1.7,.013,-3.2,-1.8
2001,NBA,1,17,Michael Bradley,Villanova,173,2016,483,591,93,.477,.143,.511,11.7,2.8,3.4,0.5,2.0,.047,-4.0,-1.0
2000,NBA,1,21,Morris Peterson,Michigan State,711,19366,7628,2483,1090,.418,.373,.773,27.2,10.7,3.5,1.5,35.7,.089,-0.4,7.6
1999,NBA,1,5,Jonathan Bender (↳IND),,262,3847,1453,582,170,.417,.340,.763,14.7,5.5,2.2,0.6,3.8,.047,-2.6,-0.6
1999,NBA,1,12,Aleksandar Radojević,Barton County Community College,15,152,26,36,7,.308,,.625,10.1,1.7,2.4,0.5,-0.4,-0.130,-11.6,-0.4
1998,NBA,1,4,Antawn Jamison (↳GSW),UNC,1083,37638,20042,8157,1761,.451,.346,.724,34.8,18.5,7.5,1.6,87.8,.112,0.6,24.5
1998,NBA,2,47,Tyson Wheeler,Rhode Island,1,3,4,0,2,1.000,1.000,.500,3.0,4.0,0.0,2.0,0.1,1.367,51.1,0.0
1997,NBA,1,9,Tracy McGrady,,938,30658,18381,5276,4161,.435,.338,.746,32.7,19.6,5.6,4.4,97.3,.152,5.2,55.7
1996,NBA,1,2,Marcus Camby,UMass,973,28684,9262,9513,1837,.466,.205,.670,29.5,9.5,9.8,1.9,81.6,.137,2.3,31.3
1995,NBA,1,7,Damon Stoudamire,Arizona,878,29106,11763,3039,5371,.406,.357,.833,33.2,13.4,3.5,6.1,55.4,.091,0.3,16.8
1995,NBA,2,35,Jimmy King,Michigan,64,890,285,112,90,.429,.147,.691,13.9,4.5,1.8,1.4,0.0,.001,-4.6,-0.6
