Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2022,NBA,1,19,Jake LaRavia (↳MEM),Wake Forest,70,1220,484,191,79,.389,.339,.822,17.4,6.9,2.7,1.1,1.5,.059,-2.8,-0.3
2022,NBA,2,40,Bryce McGowens (↳CHO),Nebraska,105,1669,548,195,105,.419,.330,.764,15.9,5.2,1.9,1.0,0.7,.020,-5.4,-1.4
2022,NBA,2,48,Kendall Brown (↳IND),Baylor,21,103,30,11,8,.545,.000,.600,4.9,1.4,0.5,0.4,0.1,.055,-5.3,-0.1
2020,NBA,1,1,Anthony Edwards,Georgia,302,10392,6920,1567,1241,.446,.353,.793,34.4,22.9,5.2,4.1,16.5,.076,0.9,7.7
2020,NBA,1,17,Aleksej Pokusevski (↳OKC),,168,3429,1253,778,327,.391,.304,.702,20.4,7.5,4.6,1.9,-0.2,-0.002,-3.1,-1.0
2020,NBA,2,33,Daniel Oturu (↳LAC),Minnesota,33,188,63,53,10,.431,.167,.706,5.7,1.9,1.6,0.3,0.3,.086,-5.2,-0.2
2019,NBA,1,11,Cameron Johnson (↳PHO),UNC,283,7220,3325,1095,470,.447,.392,.830,25.5,11.7,3.9,1.7,17.7,.118,1.2,5.9
2019,NBA,2,43,Jaylen Nowell,Washington,197,3351,1748,425,362,.446,.317,.798,17.0,8.9,2.2,1.8,4.9,.070,-1.9,0.1
2018,NBA,1,20,Josh Okogie,Georgia Tech,376,7327,2358,1117,447,.402,.293,.748,19.5,6.3,3.0,1.2,10.3,.067,-2.1,-0.2
2018,NBA,2,48,Keita Bates-Diop,Ohio State,283,4566,1697,848,241,.474,.333,.751,16.1,6.0,3.0,0.9,7.4,.078,-1.6,0.5
2017,NBA,1,7,Lauri Markkanen (↳CHI),Arizona,403,12482,7308,2923,587,.459,.375,.866,31.0,18.1,7.3,1.5,31.0,.119,1.2,9.9
2016,NBA,1,5,Kris Dunn,Providence,333,7714,2642,1104,1407,.437,.323,.739,23.2,7.9,3.3,4.2,7.7,.048,-1.5,1.0
2015,NBA,1,1,Karl-Anthony Towns,Kentucky,573,19455,13121,6216,1815,.524,.398,.839,34.0,22.9,10.8,3.2,75.0,.185,4.5,31.8
2015,NBA,2,31,Cedi Osman (↳CLE),,476,10815,4427,1411,933,.432,.357,.711,22.7,9.3,3.0,2.0,12.5,.055,-2.1,-0.3
2015,NBA,2,36,Rakeem Christmas (↳CLE ↳IND),Syracuse,30,225,63,57,4,.467,,.724,7.5,2.1,1.9,0.1,0.5,.105,-4.7,-0.2
2014,NBA,1,13,Zach LaVine,UCLA,580,18859,11866,2350,2285,.464,.382,.834,32.5,20.5,4.1,3.9,32.2,.082,0.7,12.7
2014,NBA,2,40,Glenn Robinson,Michigan,304,5299,1804,776,238,.457,.373,.779,17.4,5.9,2.6,0.8,7.9,.071,-1.7,0.4
2014,NBA,2,44,Markel Brown (↳BRK),Oklahoma State,113,1794,584,234,132,.380,.295,.781,15.9,5.2,2.1,1.2,1.1,.029,-2.9,-0.4
2013,NBA,1,9,Trey Burke (↳UTA),Michigan,498,10401,4792,878,1522,.410,.345,.810,20.9,9.6,1.8,3.1,12.9,.060,-1.3,1.7
2013,NBA,1,26,Andre Roberson (↳GSW ↳OKC),Colorado,307,6801,1382,1230,265,.473,.253,.468,22.2,4.5,4.0,0.9,12.6,.089,-0.6,2.3
2013,NBA,2,52,Lorenzo Brown,NC State,103,1185,293,151,183,.364,.170,.707,11.5,2.8,1.5,1.8,-0.2,-0.007,-3.5,-0.5
2012,NBA,2,58,Robbie Hummel,Purdue,98,1397,379,266,50,.418,.343,.867,14.3,3.9,2.7,0.5,1.9,.066,-3.1,-0.4
2011,NBA,1,2,Derrick Williams,Arizona,428,8864,3809,1693,293,.434,.300,.710,20.7,8.9,4.0,0.7,14.1,.076,-1.6,0.8
2011,NBA,1,20,Donatas Motiejūnas (↳HOU),,251,4566,1832,952,269,.469,.300,.597,18.2,7.3,3.8,1.1,7.1,.075,-2.5,-0.5
2010,NBA,1,4,Wesley Johnson,Syracuse,609,13472,4235,1924,645,.404,.337,.741,22.1,7.0,3.2,1.1,10.7,.038,-1.6,1.2
2010,NBA,1,16,Luke Babbitt (↳POR),Nevada,381,5332,1818,846,224,.408,.402,.747,14.0,4.8,2.2,0.6,7.2,.065,-2.1,-0.1
2010,NBA,1,23,Trevor Booker (↳WAS),Clemson,532,10872,3679,2932,566,.515,.305,.636,20.4,6.9,5.5,1.1,26.2,.116,-0.5,4.2
2010,NBA,2,56,Hamady N'Diaye (↳WAS),Rutgers University,33,157,20,25,3,.467,,.462,4.8,0.6,0.8,0.1,0.0,.013,-7.3,-0.2
2009,NBA,1,5,Ricky Rubio,,698,20694,7570,2830,5160,.388,.324,.843,29.6,10.8,4.1,7.4,42.3,.098,0.5,13.3
2009,NBA,1,6,Jonny Flynn,Syracuse,163,3738,1504,307,634,.400,.338,.809,22.9,9.2,1.9,3.9,-1.1,-0.015,-4.0,-1.9
2009,NBA,1,18,Ty Lawson (↳DEN),UNC,551,16088,6977,1506,3316,.460,.359,.770,29.2,12.7,2.7,6.0,42.1,.126,1.4,13.6
2009,NBA,1,28,Wayne Ellington,UNC,770,16100,6190,1643,852,.410,.382,.843,20.9,8.0,2.1,1.1,21.1,.063,-1.5,2.2
2009,NBA,2,45,Nick Calathes (↳DAL),Florida,129,2011,590,243,353,.441,.288,.581,15.6,4.6,1.9,2.7,2.6,.063,-0.5,0.8
2008,NBA,1,3,O.J. Mayo (↳MEM),USC,547,16919,7574,1706,1607,.429,.373,.820,30.9,13.8,3.1,2.9,21.8,.062,-0.9,4.7
2008,NBA,2,31,Nikola Peković,,271,6744,3405,1807,199,.518,,.760,24.9,12.6,6.7,0.7,18.8,.134,-0.7,2.2
2008,NBA,2,34,Mario Chalmers (↳MIA),Kansas,646,17245,5743,1585,2412,.417,.351,.793,26.7,8.9,2.5,3.7,32.3,.090,-0.6,5.9
2007,NBA,1,7,Corey Brewer,Florida,819,18771,7097,2287,1250,.425,.284,.713,22.9,8.7,2.8,1.5,22.5,.058,-1.6,2.0
2007,NBA,2,41,Chris Richard,Florida,70,780,135,194,25,.483,,.605,11.1,1.9,2.8,0.4,0.7,.045,-5.7,-0.7
2006,NBA,1,6,Brandon Roy (↳POR),Washington,326,11561,6136,1388,1517,.459,.348,.800,35.5,18.8,4.3,4.7,37.4,.155,3.6,16.3
2006,NBA,2,36,Craig Smith,Boston College,403,6826,3080,1567,322,.553,.037,.661,16.9,7.6,3.9,0.8,16.0,.113,-1.2,1.4
2006,NBA,2,37,Bobby Jones (↳PHI),Washington,91,867,288,149,44,.442,.306,.685,9.5,3.2,1.6,0.5,1.1,.060,-4.1,-0.5
2005,NBA,1,14,Rashad McCants,UNC,249,5037,2479,506,331,.431,.368,.741,20.2,10.0,2.0,1.3,3.6,.035,-1.7,0.4
2005,NBA,2,47,Bracey Wright,Indiana,26,325,129,39,20,.405,.324,.794,12.5,5.0,1.5,0.8,0.5,.068,-1.6,0.0
2003,NBA,1,26,Ndudi Ebi,,19,86,40,19,4,.486,.000,.462,4.5,2.1,1.0,0.2,0.1,.051,-3.8,0.0
2001,NBA,2,46,Loren Woods,Arizona,215,2428,555,682,74,.419,.143,.642,11.3,2.6,3.2,0.3,3.1,.062,-2.5,-0.3
2000,NBA,2,51,Igor Rakočević,,42,244,78,17,33,.379,.417,.806,5.8,1.9,0.4,0.8,0.1,.022,-4.9,-0.2
1999,NBA,1,6,Wally Szczerbiak,Miami University,651,20052,9195,2602,1532,.485,.406,.860,30.8,14.1,4.0,2.4,53.3,.127,0.7,13.6
1999,NBA,1,14,William Avery,Duke,142,1205,379,93,199,.330,.255,.714,8.5,2.7,0.7,1.4,-0.9,-0.034,-5.6,-1.1
1998,NBA,1,17,Rasho Nesterović,,811,17983,5519,4143,836,.502,.077,.585,22.2,6.8,5.1,1.0,39.9,.107,-0.9,5.0
1998,NBA,2,46,Andrae Patterson,Indiana,40,304,120,67,16,.455,.000,.778,7.6,3.0,1.7,0.4,0.7,.114,-1.9,0.0
1997,NBA,1,20,Paul Grant,Wisconsin,16,111,29,18,3,.448,,.375,6.9,1.8,1.1,0.2,-0.1,-0.043,-8.7,-0.2
1996,NBA,1,5,Ray Allen (↳MIL),UConn,1300,46344,24505,5272,4361,.452,.400,.894,35.6,18.9,4.1,3.4,145.1,.150,2.9,57.6
1995,NBA,1,5,Kevin Garnett,,1462,50418,26071,14662,5445,.497,.275,.789,34.5,17.8,10.0,3.7,191.4,.182,5.6,96.9
1995,NBA,2,48,Mark Davis,Texas Tech,230,3681,1261,697,294,.442,.246,.655,16.0,5.5,3.0,1.3,2.3,.030,-2.4,-0.4
1995,NBA,2,49,Jerome Allen,Penn,117,1305,336,123,201,.350,.317,.630,11.2,2.9,1.1,1.7,0.2,.006,-3.2,-0.4
1994,NBA,1,4,Donyell Marshall,UConn,957,25027,10716,6376,1305,.435,.350,.731,26.2,11.2,6.7,1.4,59.0,.113,1.1,19.9
1994,NBA,2,30,Howard Eisley,Boston College,786,16013,5116,1324,2748,.407,.350,.827,20.4,6.5,1.7,3.5,19.5,.058,-1.7,1.3
1993,NBA,1,5,Isaiah Rider,UNLV,563,17851,9405,2166,1535,.443,.352,.812,31.7,16.7,3.8,2.7,22.8,.061,-1.0,4.5
1992,NBA,1,3,Christian Laettner,Duke,868,25760,11121,5806,2224,.480,.261,.820,29.7,12.8,6.7,2.6,64.9,.121,1.0,19.5
1992,NBA,2,28,Marlon Maxey,Texas-El Paso,98,1146,479,363,22,.542,.000,.685,11.7,4.9,3.7,0.2,2.6,.109,-3.0,-0.3
1992,NBA,2,34,Chris Smith,UConn,224,3956,1140,291,627,.435,.366,.713,17.7,5.1,1.3,2.8,3.2,.039,-2.3,-0.3
1991,NBA,1,7,Luc Longley,New Mexico,567,12006,4090,2794,836,.462,.000,.760,21.2,7.2,4.9,1.5,17.5,.070,-2.6,-1.9
1991,NBA,2,34,Myron Brown,Slippery Rock University of Pennsylvania,4,23,9,3,6,.667,.333,,5.8,2.3,0.8,1.5,0.0,.032,-1.8,0.0
1990,NBA,1,6,Felton Spencer,Louisville,640,12298,3354,3436,213,.484,.000,.658,19.2,5.2,5.4,0.3,20.9,.081,-4.3,-7.0
1990,NBA,1,20,Gerald Glass,Ole Miss,201,3347,1553,512,298,.433,.236,.643,16.7,7.7,2.5,1.5,1.8,.025,-1.9,0.1
1989,NBA,1,10,Pooh Richardson,UCLA,639,19399,7083,1807,4180,.444,.329,.652,30.4,11.1,2.8,6.5,26.7,.066,0.2,10.5
1989,NBA,2,34,Gary Leonard,Missouri,31,149,44,34,2,.459,.000,.500,4.8,1.4,1.1,0.1,0.1,.029,-6.9,-0.2
1989,NBA,2,38,Doug West,Villanova,676,16649,6477,1670,1292,.481,.191,.801,24.6,9.6,2.5,1.9,17.7,.051,-3.0,-4.2
