Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2023,NBA,1,8,Jarace Walker (↳IND),Houston,33,340,120,63,40,.409,.400,.889,10.3,3.6,1.9,1.2,0.4,.058,0.2,0.2
2023,NBA,2,42,Tristan Vukcevic,,10,153,85,36,13,.433,.278,.773,15.3,8.5,3.6,1.3,0.1,.045,-3.6,-0.1
2023,NBA,2,57,Trayce Jackson-Davis (↳GSW),Indiana,68,1130,540,341,82,.702,.000,.561,16.6,7.9,5.0,1.2,4.8,.205,2.8,1.4
2022,NBA,1,10,Johnny Davis,Wisconsin,78,1036,315,137,60,.394,.282,.549,13.3,4.0,1.8,0.8,-0.4,-0.019,-6.9,-1.3
2021,NBA,1,15,Corey Kispert,Gonzaga,231,5961,2524,641,328,.481,.388,.792,25.8,10.9,2.8,1.4,8.2,.066,-2.0,0.0
2020,NBA,1,9,Deni Avdija,,287,7518,2826,1714,727,.457,.327,.737,26.2,9.8,6.0,2.5,9.1,.058,-1.9,0.3
2020,NBA,2,37,Vit Krejci (↳OKC),,81,1396,358,179,124,.435,.348,.833,17.2,4.4,2.2,1.5,1.4,.047,-4.5,-0.9
2019,NBA,1,9,Rui Hachimura,Gonzaga,278,7476,3543,1343,356,.493,.371,.763,26.9,12.7,4.8,1.3,11.3,.072,-2.2,-0.4
2018,NBA,1,15,Troy Brown,Oregon,356,6778,2196,1288,508,.423,.351,.783,19.0,6.2,3.6,1.4,8.6,.061,-1.8,0.4
2015,NBA,1,19,Jerian Grant (↳NYK ↳ATL),Notre Dame,279,4998,1692,530,805,.411,.323,.770,17.9,6.1,1.9,2.9,8.3,.080,-1.6,0.5
2014,NBA,2,46,Jordan Clarkson (↳LAL),Missouri,716,19861,11429,2405,2073,.438,.335,.832,27.7,16.0,3.4,2.9,23.6,.057,-0.9,5.4
2013,NBA,1,3,Otto Porter,Georgetown,527,13400,5419,2599,783,.477,.397,.797,25.4,10.3,4.9,1.5,36.7,.132,1.7,12.5
2013,NBA,2,38,Nate Wolters (↳PHI ↳MIL),South Dakota State,84,1575,461,185,209,.423,.261,.635,18.8,5.5,2.2,2.5,0.9,.028,-2.6,-0.2
2012,NBA,1,3,Bradley Beal,Florida,748,25858,16355,3069,3237,.463,.375,.822,34.6,21.9,4.1,4.3,56.1,.104,1.6,23.6
2012,NBA,2,32,Tomáš Satoranský,,388,8617,2676,1117,1586,.468,.354,.820,22.2,6.9,2.9,4.1,17.9,.100,-0.9,2.4
2011,NBA,1,6,Jan Veselý,,162,2455,590,562,96,.521,.000,.408,15.2,3.6,3.5,0.6,4.0,.078,-2.6,-0.4
2011,NBA,1,18,Chris Singleton,Florida State,148,2605,612,472,92,.376,.319,.633,17.6,4.1,3.2,0.6,2.3,.042,-3.2,-0.8
2011,NBA,2,34,Shelvin Mack,Butler,456,8392,2997,894,1421,.423,.330,.731,18.4,6.6,2.0,3.1,10.3,.059,-1.9,0.1
2010,NBA,1,1,John Wall,Kentucky,647,22588,12088,2704,5735,.430,.322,.776,34.9,18.7,4.2,8.9,44.5,.094,2.2,24.1
2010,NBA,1,30,Lazar Hayward (↳MIN),Marquette,72,591,207,90,35,.347,.269,.767,8.2,2.9,1.3,0.5,0.2,.020,-4.2,-0.3
2010,NBA,2,35,Nemanja Bjelica (↳MIN),,449,9173,3412,2051,826,.466,.384,.759,20.4,7.6,4.6,1.8,20.0,.104,0.3,5.4
2009,NBA,2,32,Jermaine Taylor,Central Florida,65,786,351,108,48,.441,.284,.730,12.1,5.4,1.7,0.7,0.2,.014,-3.7,-0.3
2008,NBA,1,18,JaVale McGee,Nevada,909,14676,6907,4577,386,.578,.192,.604,16.1,7.6,5.0,0.4,43.7,.143,0.0,7.3
2008,NBA,2,47,Henry Walker,Kansas State,181,3016,1079,401,153,.446,.369,.760,16.7,6.0,2.2,0.8,5.0,.079,-1.8,0.2
2007,NBA,1,16,Nick Young,USC,720,16419,8194,1427,687,.418,.376,.836,22.8,11.4,2.0,1.0,18.6,.054,-2.2,-0.8
2007,NBA,2,47,Dominic McGuire,Fresno State,342,5348,939,1169,422,.419,.188,.658,15.6,2.7,3.4,1.2,4.1,.037,-2.1,-0.1
2006,NBA,1,18,Oleksiy Pecherov,,111,1044,438,266,20,.386,.290,.793,9.4,3.9,2.4,0.2,0.5,.025,-4.8,-0.7
2005,NBA,2,49,Andray Blatche,,564,12462,5706,3024,798,.467,.237,.725,22.1,10.1,5.4,1.4,19.2,.074,-0.8,3.8
