Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,Team,VORP_Percentile,WS_Percentile,BPM_Percentile,VORP_PositionPercentile,WS_PositionPercentile,BPM_PositionPercentile,Successful Pick
2022,NBA,1,23,David Roddy (↳MEM),Colorado State,135,2435,891,404,139,0.416,0.301,0.662,18.0,6.6,3.0,1.0,1.2,0.024,-4.4,-1.5,76ers,0.08,0.46,0.19,0.13,0.23,0.16,False
2021,NBA,1,28,Jaden Springer,Tennessee,67,602,207,94,52,0.418,0.226,0.82,9.0,3.1,1.4,0.8,0.8,0.067,-2.6,-0.1,76ers,0.37,0.25,0.36,0.56,0.39,0.48,False
2021,NBA,2,53,Charles Bassey,Western Kentucky,77,881,331,331,75,0.658,0.231,0.655,11.4,4.3,4.3,1.0,2.7,0.149,1.0,0.7,76ers,0.74,0.49,0.9,0.89,0.78,1.0,False
2020,NBA,1,21,Tyrese Maxey,Kentucky,266,8227,4833,778,1086,0.468,0.396,0.862,30.9,18.2,2.9,4.1,22.7,0.132,1.2,6.6,76ers,0.93,0.98,0.95,0.7,0.58,0.89,False
2020,NBA,2,34,Théo Maledon (↳OKC),,177,3753,1373,489,518,0.372,0.31,0.793,21.2,7.8,2.8,2.9,-0.2,-0.002,-4.6,-2.4,76ers,0.04,0.08,0.27,0.05,0.09,0.17,False
2020,NBA,2,36,Tyler Bey (↳DAL),Colorado,18,71,18,19,3,0.318,0.25,0.6,3.9,1.0,1.1,0.2,0.0,-0.033,-9.5,-0.1,76ers,0.52,0.19,0.04,0.43,0.16,0.05,False
2020,NBA,2,49,Isaiah Joe,Arkansas,247,3832,1678,447,242,0.427,0.397,0.841,15.5,6.8,1.8,1.0,8.4,0.105,-0.4,1.5,76ers,0.73,0.59,0.74,0.81,0.71,0.9,False
2020,NBA,2,58,Paul Reed,DePaul,215,2824,1091,903,164,0.555,0.312,0.69,13.1,5.1,4.2,0.8,9.9,0.168,0.3,1.7,76ers,0.76,0.7,0.86,1.0,0.92,0.92,False
2019,NBA,1,24,Ty Jerome (↳BOS ↳PHO),Virginia,159,2748,1108,294,411,0.421,0.352,0.826,17.3,7.0,1.8,2.6,3.9,0.069,-1.6,0.3,76ers,0.65,0.46,0.66,0.53,0.46,0.56,False
2019,NBA,2,33,Carsen Edwards (↳BOS),Purdue,72,706,267,79,52,0.364,0.297,0.758,9.8,3.7,1.1,0.7,0.3,0.019,-5.1,-0.5,76ers,0.24,0.23,0.16,0.29,0.32,0.19,False
2019,NBA,2,34,Bruno Fernando (↳ATL),Maryland,203,2179,814,661,143,0.544,0.122,0.65,10.7,4.0,3.3,0.7,3.6,0.078,-3.1,-0.6,76ers,0.19,0.44,0.38,0.24,0.66,0.38,False
2019,NBA,2,42,Admiral Schofield (↳WAS),Tennessee,131,1372,426,215,78,0.417,0.326,0.782,10.5,3.3,1.6,0.6,1.2,0.043,-4.6,-0.9,76ers,0.11,0.35,0.23,0.14,0.43,0.33,False
2019,NBA,2,54,Marial Shayok,Iowa State,4,28,11,7,1,0.25,0.333,0.75,7.0,2.8,1.8,0.3,-0.1,-0.13,-13.0,-0.1,76ers,0.49,0.06,0.02,0.47,0.33,0.07,False
2018,NBA,1,10,Mikal Bridges (↳PHO),Villanova,474,15478,6760,1948,1211,0.48,0.375,0.846,32.7,14.3,4.1,2.6,36.3,0.113,0.9,11.4,76ers,0.92,0.92,0.84,0.74,0.68,0.79,False
2018,NBA,1,26,Landry Shamet,Wichita State,348,7627,3027,601,570,0.408,0.384,0.84,21.9,8.7,1.7,1.6,12.1,0.076,-2.0,0.0,76ers,0.42,0.58,0.41,0.39,0.58,0.44,False
